run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
107,K27M,239.10360055204708,0.03950021742881077,0.3473644639387447,3.35216521040708,0.42166209672259125,0.7709683992511751,0.06511459191898034,5.710032457214252,0.23371986351413043,1.043133781965294,3.8222685541313863,0.9922210993456821,0.7027172638162382,2.09174633952109,0.11978949945412412,0.21844543692495377,1.3513081624130523
108,K27M,176.87317231394056,0.04380738759962793,0.4488130054354883,5.886529088386406,0.26832914396894886,1.9792326178413209,0.031182204340821293,4.121298390007213,0.4304724398285362,0.5361937796477132,5.142528223331437,0.6309980437792334,0.3167803279878944,2.1370043384968267,0.02273073952696556,0.16790700170062803,1.4419089997690073
109,K27M,177.11597196940875,0.0436948563000047,0.4739015739772672,4.381779874125742,1.0475815810181082,0.9681608875780503,0.05411460131546481,1.253548809955362,0.2159109239700703,2.7470802034467354,5.895038913438016,0.2915998005017949,1.4083134153757297,1.6924001079187116,0.06980587646516637,0.5063213558334522,0.6956287343302267
110,K27M,177.48032612254218,0.043768264762881745,0.48114329910019044,3.8452937380097465,0.9226448292472037,0.9550691678057794,0.06878839093566803,1.02296257572606,0.5453186222287276,3.388916307858541,5.964706768477903,0.1998460263834653,1.1694163248482468,1.6223338857093785,0.09849930505356277,0.26413588176593294,2.023533309511984
111,K27M,192.75426056612764,0.0453663918919493,0.41471010158722216,1.8450652360743012,0.6963409946723865,1.2539153978797808,0.035500234532108446,0.3335490429763007,0.8000099618378606,4.132802080907113,4.8689171273314,0.091330822248691,0.40967089398694095,1.7332575093729794,0.04328124372414675,0.21949972854509225,2.7997111855403256
112,K27M,268.61837540288343,0.04553476947617915,0.48554268915970267,4.891860553859576,2.8332017837998893,2.882958150126747,0.06934621751083948,8.2544703800215,1.0764336676765054,1.5429228043151284,4.938463330641375,0.19392779494960077,3.058848254964903,2.895028229331171,0.0889982999758264,0.9200334916667192,1.598257699254087
113,K27M,268.0359228349792,0.04662848211083421,0.4640982950056571,5.112106848764684,2.9436166843889966,2.1493187658652655,0.056684168215485005,0.584458637584909,0.9972118734537847,2.3896440742665788,5.5934685610802966,1.0736223957806967,3.5088690312943784,2.194975702075033,0.03233004182738283,0.4938608588648006,0.9942279456377736
114,K27M,297.86960023462706,0.04795478917837286,0.4121415196338962,3.026139405489153,1.0703658436198802,1.1953787493979593,0.04859205219489553,7.554295529997987,0.3237999825574167,4.9828772887314425,5.892348468714747,1.0332092548556433,3.794225664251498,1.398633498158543,0.12714442969890347,0.5330613999257366,1.1985752856010468
115,K27M,184.76738136070588,0.044065535616913426,0.38922459350524097,4.502806819260656,0.9135530343324586,1.0892748007547413,0.04526723876767972,2.988054412578877,0.9275340227033485,2.529720465398759,5.929937235925665,0.019660715205750363,1.4348872901756915,1.8632801423557546,0.05532979386028784,0.03198614593437058,2.418943302127443
116,K27M,201.34829004129227,0.04509968554613143,0.48233152978474214,4.56540361073648,0.9005210814434366,2.97769300707302,0.0665926349325252,7.687530521864667,0.7952264873437572,0.7124443105819321,4.17931070809828,0.25055126990711485,1.7474407131788983,1.426863611050479,0.1327913530770852,0.09311044048473045,2.7237895577502127
117,K27M,266.28650427861413,0.041155236642776497,0.37733115420405117,2.855988311575443,0.15778244365211203,0.7024970136110988,0.04698409627321048,2.7675261066420678,0.8672817340804044,2.41386734283272,4.774986191399617,1.2759293498981847,2.982027099664557,2.074378457264066,0.1442188901414294,0.5053967083094341,2.748345315598177
118,K27M,265.91616043095763,0.0425858981814754,0.25347129625925535,1.946989715731049,2.4222889354377175,0.4487500854491082,0.03226480966045296,2.2337772514155954,0.8429354625538161,2.792890134167225,4.405907217418581,0.11441566308932183,2.8786811596174458,1.2941627141082699,0.11996146292623278,0.2995616083931256,2.429643241895774
119,K27M,184.51894512536313,0.04414787743754629,0.27956270098154323,5.21572632410367,0.6783518767028051,1.7552991700668104,0.03933041956882759,6.307287898143152,0.25901542081324613,0.8012253241537372,5.354931793352139,0.6177752821971608,1.027260991963866,0.10473599975785347,0.050023117989663225,0.712266461055242,0.6195445924905852
120,K27M,177.25117031600558,0.0439797532174091,0.4976576213003905,3.7567627198083375,0.7186584716949583,1.1360978658935892,0.045690838488496706,2.3871371443744827,0.673726571480092,3.203144815126383,5.579431690437551,0.06847353775462796,0.8894269048924559,0.7732293133714593,0.05060182427425049,0.30769652758284566,2.239011126367211
121,K27M,177.06635158740323,0.04412365320907643,0.455852131759472,3.1394287997625145,0.20752362074882308,1.4217041643320083,0.06441985787062622,2.6975520003798334,0.3114373645871902,3.7087610807948495,5.617827858326224,0.019518475324115398,0.22130348146609952,1.4764820416128615,0.0950906676875673,0.8209238621628844,1.0036423587088752
122,K27M,210.41800685790736,0.044147418619936735,0.4392992631777206,3.542810251261609,1.499242637908914,0.51270643013997,0.04400845882414722,5.584083344063441,0.6876472079872591,3.004727682347058,5.606204297274059,0.040779305196421596,2.499638456611359,0.018485181902390235,0.10956757098859816,0.2765627034248654,2.5822121528643436
123,K27M,257.4905179845166,0.0510161172958771,0.496272029498103,4.372382998381576,1.2434305300079123,1.5984722933569417,0.06591787236384912,3.1181771938649385,0.9544607379589068,2.874085884605621,4.780950980461059,0.25867636795501814,1.9937196551314742,1.26742350409085,0.09679842660798688,0.8648562345830718,1.3262905570923245
