run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
21,WT,321.8636788429493,0.015955488830605956,0.4472840524459415,4.40381876153579,0.9915449945352437,2.744135124837567,0.09840462691251031,2.709825111875373,2.754126304897199,0.5533345786922745,4.670966449214655,1.5989222596216845,1.2254837601631006,2.019708134737857,0.04598771828299458,1.8697908439393733,1.1613107781586778
22,WT,383.118313652206,0.017418134596576575,0.48468666080901923,3.954992937947219,0.11894696192202936,0.16763305702013032,0.04975094563235625,1.727005340335507,0.12905229252137795,0.9129555845866739,3.699908408755248,0.5442876975356539,1.295649799660299,1.6068961975786,0.06559401243774303,0.9428176244828759,0.3788089844980145
23,WT,315.5948819686205,0.012802837938962712,0.4402962367547889,3.087659151696775,1.2216870872623988,2.377926089126091,0.018612381787573712,4.006492276037184,2.5671732733238257,1.4040607356435513,4.2824248462488015,1.2330945492777503,0.08853124291483833,0.08408262795749954,0.042318859552162295,1.5920023534916135,2.8658735761139833
24,WT,362.2785436625184,0.023815219696875518,0.3003227168463311,3.5992957571245183,0.7795297713426141,2.629671925567117,0.052844844488660475,5.082000127570045,0.948328195640683,1.590593873349624,4.612811641652685,0.6085651325207888,0.6136009956201953,2.5761062532535686,0.03663882876473894,0.020187184187740348,2.9440774326777897
25,WT,295.8587648144344,0.019862864388936308,0.31943432465148286,5.135591414225717,2.075543445336442,1.4863732170676864,0.0679578981189747,3.307039744542127,1.7882173758208073,0.2921505874136212,5.225301381374488,1.155487105037083,0.8351756636538556,0.1371695664428207,0.0495906404275948,1.4115314670148995,0.7577358266647093
26,WT,308.3959795626947,0.02089854225911402,0.48806485284583484,4.267349135649622,1.3235181732119514,3.9704433621240733,0.09374085211839217,7.481748616066183,1.324655912922991,0.2840728799876038,4.050873815989412,0.08554025494956563,0.8366837553989345,1.8209015025963042,0.09309027053261829,0.15753791754795243,0.9045521427785516
27,WT,341.3003920183196,0.01926392365507805,0.12418028705299344,2.809480212206871,3.3259920069733324,2.8280022592883096,0.06322377957071042,2.7782541640953426,2.8038951311166302,1.378655205925892,4.1018156919251085,0.8717177253119424,0.3031070518350305,0.06214465072135078,0.07436270810494153,0.17576377608815497,2.42652331653559
28,WT,313.699002779811,0.02120732655833574,0.16636808551761795,4.493670599094173,2.261605484509192,2.6313375773834364,0.061149500768492765,1.3646299641649091,2.049685232434014,1.1756192744667224,5.593259725112157,1.5144833113677612,0.40807081457960626,2.464074111954102,0.06104228033689178,1.041175988038563,1.2322617601031525
29,WT,325.3690393455763,0.015829115984395105,0.39849344551914356,2.2268662250875213,2.6169753342577136,0.7125379981826729,0.0670166692008651,0.38914042898239165,2.866362218195,0.6936845705036117,2.5574358826823307,1.114754079055151,0.06462290252784808,0.7572522550470181,0.021811937625913328,0.13792886089648837,2.102327888004952
30,WT,228.0614878818339,0.01759558148700811,0.36456971310410735,4.34480168911902,0.2399572289941847,1.5891131348347587,0.08885355484345037,1.9623479844377394,0.8516605555723388,1.209481366004556,5.327172391319711,0.1927139197532345,0.025822170041931977,2.730956206272807,0.04795116078845323,0.3867955118404213,0.5891681209170816
31,WT,349.0417948051575,0.014476795275932023,0.3406677449129998,2.0762393638977024,1.3789967975457236,0.5255996048454845,0.08281389736436354,1.3246271293731937,2.7045984220526664,1.4879846678541104,3.414505375529659,1.6243468375120285,1.3899814513458644,0.03495748824333322,0.045344473849570646,1.1867462071853307,2.6506994748486514
32,WT,352.867662884916,0.015303526968047494,0.31752842558287564,2.1660956162139264,3.797765292799947,1.5159143163855675,0.04947909281295494,9.218055164197194,0.24615937778789387,3.1439467061965205,5.137199004638216,1.7420231044654964,1.0129892133941585,2.9289794463124577,0.04637377223323168,1.7915566734192208,0.3658041657607527
33,WT,339.66472339403623,0.015688704483569717,0.4513595983843558,3.6134134467284342,0.029754974934759204,0.7200588660893192,0.045841283567090475,0.20268578034263562,0.870895195344676,0.5150353759454371,3.8906651276814395,1.6991338115990182,0.45661443748738306,2.714993827153009,0.06576088254512033,0.5057891478605396,1.5603975893350268
