nb,run,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
30,1,0.0010240406827025145,0.38582116559383295,5.614098484476474,0.13132992995563458,1.419373450836315,0.05788459355837767,4.360051259757798,1.2715096427706445,5.414834780871556,0.17441394129135707,0.013447119894235278,0.004054181012772022,0.04181713080899163,0.2210122653857804,0.5761826412549232
31,1,0.0019325063071883065,0.3411345104325481,5.55499276416713,0.14221918226570351,1.4079237377185572,0.09576261320017461,4.35389837645393,1.3057845729363704,5.431883369625808,0.21228001032509222,0.015296593216841547,0.038788066016295565,0.03229991252443331,0.28783455981860173,0.5862485202479308
32,1,0.0023005509860720306,0.3409988555327467,5.617282170414104,0.10616053501554266,1.3994243802619313,0.045776905391639096,4.333477190704073,1.3347288947979923,5.453086981131763,0.30667895122710914,0.018730396963572368,0.09250006522598436,0.004906482390721209,0.24512018305055808,0.5731304744420986
33,1,0.004396236589063474,0.35893291928333365,5.539156411317389,0.1474741978285737,1.4022855037575508,0.08862013801374577,4.4319432024148115,1.3125411126033648,5.415220441310772,0.3773023319177239,0.044345719494360315,0.17656333129352053,0.05686019295653284,0.19889566534912792,0.607749192605555
34,1,0.003470362906500829,0.3665544471609867,5.425329832737322,0.10331258607837059,1.4293172558219789,0.08555001768597102,4.381797482569971,1.27972715723718,5.335081632293268,0.41651966159035375,0.030351842737175345,0.1701998716021381,0.03657090231831825,0.18649908881008215,0.7096258611910718
35,1,0.0009361789931833848,0.3221871520492861,5.399260981489303,0.14852487565757572,1.3482337872833439,0.07508028761464056,4.387923721688836,1.243986409692348,5.317423579503862,0.5310015728607033,0.0020285825124280177,0.12996769456687202,0.04239333778131063,0.11078377467787917,0.8044297670975228
36,1,0.0024799789853657403,0.29856912125513174,5.408204267908267,0.1702625972568842,1.4372294693078294,0.09115201974966786,4.438124299185259,1.199256577911116,5.296349013648181,0.5299027729784096,0.023812026444432106,0.11104841927891777,0.0598863283919546,0.11667827274418754,0.7468457561767112
37,1,0.007207784772953064,0.2477008706797538,5.417762178322209,0.15875275286345408,1.4774165424838077,0.08369887851581914,4.337686587235178,1.1004025466040321,5.3023576908008945,0.494562416346245,0.0067648899912480295,0.04121279913341142,0.03912181198152908,0.18785974881395345,0.7556767577907174
38,1,0.0157911450630766,0.2313548577929421,5.436999850911014,0.19986377362531532,1.4921521648745475,0.039174588759238196,4.338076717544824,0.9977502790426444,5.242164486726079,0.45993411959418323,0.03639883462106205,0.1369605954369153,0.014561410559435925,0.10477333082236398,0.6687221293486552
39,1,0.020334424745083814,0.24880045988118785,5.447468560878828,0.1828923908244418,1.5180101534270598,0.0638265401017177,4.306394390456476,1.007881764662965,5.204977296523438,0.4955376493128213,0.024271909884968124,0.27961090527090676,0.03677651037437371,0.10124914176757709,0.6834110280845628
40,1,0.010597460660077936,0.36050576834898246,5.505035784058534,0.14960146787538803,1.5786963196515518,0.06685207024210323,4.297473039597204,0.9232360085064485,5.17503615444039,0.5166163484452208,0.010179528959449412,0.37071818894229763,0.013272622816403144,0.020853715645588994,0.6873606810568959
41,1,0.01820148714426692,0.413939432362267,5.569955552659883,0.19589494054780573,1.6092928126442867,0.09588946107049262,4.349232129518075,0.8881766213672586,5.1396565368664096,0.5089092136950439,0.03067806794816793,0.3481450374799823,0.09767621988898151,0.09737292113100206,0.6831070337397162
42,1,0.016896437241299196,0.4632939962789762,5.583478611302705,0.19073584825451667,1.5721253020204078,0.07363589214043102,4.316944568916606,0.8930133571351623,5.142965233573814,0.5941573834965205,0.024766728461517583,0.37489822723304,0.032647469378550606,0.07479198877732518,0.7370491783087014
43,1,0.010234156742237106,0.4981586339108737,5.574803629911115,0.16936135421620466,1.5690222212469338,0.07764207903282125,4.3583449453205745,0.9256150279789512,5.161980087305916,0.5865379601640283,0.015486395338591965,0.4644487240666188,0.056711357866790046,0.0023038089327215698,0.7671547714628657
44,1,0.008685914750949196,0.44142909217926907,5.607540508116253,0.17220101037603594,1.6097117529183782,0.0994321966221906,4.402170599085768,0.9588944674161989,5.245419294297338,0.5761366932363235,0.017934613236220018,0.46648837361345985,0.02533052840268871,0.03642410820524575,0.7304875143129715
45,1,0.016224288651716143,0.4194748335105576,5.60969652871718,0.18588809197176717,1.6171985485971156,0.05027602301668086,4.458088151243634,0.9761424683868861,5.266494778881321,0.5835081282933684,0.04417447169419578,0.49832933412459246,0.03348665590440249,0.08481571452096914,0.7803708758365745
46,1,0.008227331661550945,0.3704142899501977,5.538921589993606,0.15847618024106852,1.6661236851417311,0.008858810972121954,4.4330199726332795,0.9450920942766755,5.241735659994689,0.6071296528422399,0.025193444442427982,0.5474127273229856,0.012607168197973383,0.03667086527674135,0.8129898707254704
47,1,0.004145307303735621,0.4008398909369741,5.454316845807532,0.12459731347162119,1.7588960404743816,0.04799117159596839,4.4920213581749895,0.9490272833380574,5.235338182030332,0.6322525953112619,0.014567197662583227,0.5320989460818797,0.0240973312781237,0.0887171290277976,0.7736448920570261
