run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
31,K27M,177.72738797757535,0.043920408540079905,0.3055598867838003,5.644243541837685,1.595369296753025,0.9983233369293346,0.059737176166009966,3.013898664125028,0.30191334475364356,4.903321981515038,0.3483125367035644,2.3373760641740318,0.07526216588469815,0.09731317414682346,0.08168934717527332,1.0105717265511713
32,K27M,177.05986346199603,0.04352706540717827,0.25508673204987936,5.5599248578808105,1.332031867681335,1.252259499492578,0.060920887724560176,3.3346254529117605,0.16307623649965458,4.939383567867502,0.3361302477687201,1.722641679354929,0.26450233897771147,0.08541530510533188,0.24453141423481525,0.5349842047375396
33,K27M,177.4416915649703,0.04366136844425032,0.40395497777113176,5.993364402972656,1.1117544859182464,1.4113378992450243,0.06825549085383373,4.2809935873141525,0.27503281739529745,4.955113367170521,0.5862373640917452,1.617052940251602,0.12973911559490647,0.10315313858007298,0.2226318858978627,0.9605662807103654
34,K27M,179.68395640769904,0.045414916178148655,0.42730601018935327,4.467452368186418,0.24285349417110577,2.479730934628998,0.021597927927555962,6.279394059851741,0.4705446166765619,3.2419401245979125,0.2647447889464696,0.21969050350657013,0.5048275970128134,0.007368044114977602,0.272208601247238,1.587518599302265
35,K27M,177.40624852979363,0.04378787583516378,0.4280501385366275,4.147019363137687,0.4007735349465464,1.6304006823682053,0.04054779690056104,3.73250185414784,0.46473508380755507,3.031037864263224,0.0008301370846963696,0.5305929606954456,1.2927031583232678,0.047043448253637064,0.004087397638734356,1.5558790326380076
36,K27M,173.21806100058032,0.0439082254371022,0.4959369277044342,5.762752170321647,0.02528986985588896,2.6958663296320426,0.04189754627481717,7.875940511299106,0.4712666103607417,4.438114480185732,0.25997486137192993,0.0005670579110925661,0.3310911395598803,0.0484568925423537,0.529265670602243,1.7338028642523922
37,K27M,176.31163731061258,0.04412727703955359,0.26559614615959176,5.782322312910887,0.8336598034926995,2.0414512780270004,0.018929745443451725,6.4659120780702874,0.17941391194661593,5.060993701203424,0.023107302764946075,1.0970638992353325,0.14551888236635996,0.0009504385075978617,0.6159669355529527,0.6144518767747283
38,K27M,177.22903939216212,0.04424092887683,0.44123860523300146,5.415402573002223,0.756392781805016,2.022858779879258,0.05947679088599477,5.672104483017882,0.5979765643768181,4.203561609746379,0.03639031517433065,0.9961216398585792,0.6593241938616086,0.08009216613699524,0.0629033798644559,2.231265727961952
39,K27M,177.15431212606174,0.04334458145254451,0.3970989278051307,5.853659106708213,0.8445380027858016,1.3313560020352362,0.06301813701454649,2.4014786073508416,0.09088920741447815,4.841132638212769,0.7920079050511624,1.0807027474884268,1.780345844385266,0.09183744453313888,0.17109803963697853,0.2862037598556054
40,K27M,176.87837498102195,0.0443816578517766,0.3065616336388403,5.757836832088798,0.4565785710744949,2.377793348386688,0.034727765311037634,6.815720223229614,0.5614105672229809,4.936277202010355,0.22115849234255816,0.579192524403829,0.44750502975516104,0.032735056352745234,0.3018970998436084,1.8601356828921285
41,K27M,177.3139836363186,0.043190949923110865,0.4684205364036559,4.847031314064606,0.9052308056355362,1.4154933691621998,0.06394045082855088,3.555775629791006,0.3308268116113166,3.714932349907375,0.3304200277751382,1.1250079729439495,0.6320929694743003,0.10234836969791865,0.10120046157657842,1.1073939854800752
42,K27M,176.32137831588543,0.043960111172389425,0.42256040755496566,5.7947067256357645,0.6703789559331004,1.593833283167668,0.02272125701254048,4.317298153337357,0.3909278545064019,4.624112976789615,0.7337284340639059,0.8597345408590982,0.5123253591735938,0.007549495943511082,0.14620394959037933,1.3404406959574875
43,K27M,182.9940247108064,0.04477677508856638,0.43737915901500546,5.204458254497111,0.9301098406661331,1.7737788440752382,0.04656883684415407,4.442218389451319,0.6253643247163534,4.0760405070924355,0.3503664404134977,1.3124037628692786,0.17680676697380823,0.06975225727145029,0.0957535486035109,1.612116691732486
44,K27M,177.1026976328281,0.04404486408634498,0.49728912764014876,5.615835340163386,1.1236860616195434,1.847987152949303,0.054370743681437704,4.270881230279611,0.3450240893364451,4.304119297160477,0.08859637026554477,1.4448394071548893,1.1871069101026268,0.07671556482416338,0.16330495636118775,1.2536964112863425
45,K27M,177.1658225817325,0.04430389792751758,0.2747006912915066,5.154056680896322,0.3904960886861745,2.249515104896027,0.045981041153757965,5.134380396296992,0.5951369097437326,4.430997629822527,0.1698415343186154,0.4793374749226875,1.267141155910634,0.05239790073299722,0.05912311399982255,2.0713842545868775
46,K27M,177.32799417161712,0.044218646135283105,0.3395461883216824,5.907240829501834,1.3269301687234338,1.881732551353809,0.0653493686377403,5.302380482306446,0.6270632771853755,5.006025128576802,0.07076418796200479,1.5995978301497973,0.06673187627373751,0.09282524160418229,0.03619569146852733,2.1864231428228957
47,K27M,179.35129879840352,0.04468318951551068,0.4230898756036947,5.717946589491702,1.1455071790125888,2.3619316386883913,0.06234440434083185,5.036085500370939,0.6005906599123786,4.674958363931007,0.05165281977293315,1.5563399539255007,1.756750395396116,0.11176657061235509,0.010881882169668037,2.002773457329337
48,K27M,236.95503696432908,0.046248611247540344,0.41968901464794184,1.4260124890670147,1.4799220708974845,1.9916742052415097,0.027138710584669573,1.2879789682610099,0.05254888911924854,0.15291593774665294,0.6304834645489431,0.2563442714654787,0.3113101038240878,0.016633459610870135,0.08823328547301892,0.11137876292567175
49,K27M,268.1318671257719,0.04015830763808849,0.49050161057002106,4.469928093219155,2.7224960029391063,1.7637625971054354,0.057021422653875706,6.787482861798037,0.2983105340049551,3.3732323927483323,0.9862349750819293,1.353524607399487,0.1256628024423325,0.14967672979276953,0.003118389374707209,1.7561901554475674
50,K27M,177.14679396408707,0.043686565020021106,0.24527835885606109,5.976056857275826,0.7601895435525657,2.0856100429815014,0.06666351218855782,6.255433541321814,0.6721683631839142,5.389747910206401,0.18045667763153456,0.9404806451358182,0.49841375182167186,0.1012814559959631,0.07815690710011654,2.36197777672753
51,K27M,177.3693361055307,0.04416846148900793,0.4471189951249646,5.931465958526565,0.41082630737178755,1.8900966621774238,0.06551627873929874,6.2919560818652185,0.6838652950569605,4.677719984811004,0.46459420535716367,0.5240859642811799,0.011254156082947109,0.09259745946891482,0.09331635521787686,2.4130873278750977
52,K27M,178.30279515234434,0.04365374286569358,0.34052849799326773,5.9432101483051145,1.1151431436758221,1.8098186843217372,0.06557414391807682,3.8764412104428834,0.46290300306552257,5.082557333437015,0.06735507481895342,1.4052072544451424,1.32930504365758,0.09319791364666614,0.0939576533550828,1.5929479341114847
53,K27M,176.9750357605971,0.04408897058077337,0.3671714794050565,5.7980315485703855,1.0401734620876877,1.8174519621528924,0.03755900842681361,4.914034828218658,0.46688750919717115,4.773348549923909,0.027053774053833156,1.4255477291203635,0.7043531743021537,0.03327632053793043,0.15502688314165625,1.5113553094008656
54,K27M,177.551856878175,0.043635861616387994,0.32126648827224963,4.952985915824527,0.19894359497875266,2.3631827172779474,0.057600588476389485,4.989369300150297,0.6442404742117582,4.162745150258488,0.101824188149411,0.22708192823511172,1.75005763355882,0.08602627147856962,0.0476297543688545,2.178989855338613
55,K27M,177.40302501056647,0.04381763133352723,0.46154756775788197,5.68087148749056,1.3586569141215925,1.5104890882324158,0.06831753190117729,4.68821148832797,0.3710810654521126,4.490244418801965,0.0031886815976563433,1.690576103400295,0.2127109704026035,0.10757041749434709,0.17880369744926058,1.306051110121202
56,K27M,176.7915579642929,0.04401326319975681,0.14071286175258538,5.993779895467134,1.1884456582615286,1.8358893099992453,0.026987072394563424,3.652265386287794,0.3790587217560038,5.650079680858392,0.16785668375338877,1.503976917607104,1.7732466562382874,0.01519629144457892,0.08346678768544495,1.217210578333422
57,K27M,176.90320116967354,0.04375659982769374,0.39820393009809785,4.927026603759562,0.22899624512927133,2.0369534235706097,0.044547396757362336,5.6112881364742435,0.592593881706188,3.8850873220371227,0.2742782626393455,0.278321365509095,0.5579835652865408,0.05432285506307412,0.11176600089167354,2.0301794453624873
58,K27M,251.1446361413993,0.04602784968794714,0.34319597933084883,5.036149808008598,0.3492452808886861,2.7408021664299502,0.05973211172256594,8.270114796974163,0.2563010969748408,3.486042404027905,0.33356210581619183,0.3668611706659477,0.13108450991242337,0.14842956072815214,0.43682256490380766,1.4760384379992109
59,K27M,176.90575884006216,0.04405337997221174,0.07110507569254007,5.616498024969417,1.046020388923861,1.8129756037752454,0.04740369099487254,5.343298616292081,0.5674341013288403,5.501047611676866,0.058640189396713234,1.3902658110358321,0.31819785028507275,0.05797426390141096,0.08755833838252296,1.8977970896925842
60,K27M,177.23321810600896,0.04395155141995292,0.25884118782863047,5.932171334631312,1.1169349772722077,2.1408277496990338,0.06406966662327021,5.655724026951083,0.23806008950793014,5.314697800191817,0.039103009248178486,1.3969819667816037,0.7046538227977737,0.10518357196831093,0.44520383753686754,0.8398037460001189
61,K27M,225.51400494463365,0.03886048220066911,0.42094810940287264,5.315499943012633,2.2208257048330644,2.936639595209829,0.0660960108681867,9.117975463421892,0.3925509916404912,4.723990795604517,0.3019502423060978,3.7219339393724318,0.7166489009118708,0.10904245916756573,0.38086881437617315,0.9767132807319199
62,K27M,261.011708655804,0.03571697830864671,0.3627105881968853,5.469933897319472,1.4315362082584389,1.9568145766951353,0.039042155104674535,3.3235532686129527,0.1647088381706103,4.958751263652163,0.7047261142434563,2.241230250148925,1.5000453784018495,0.0580052779058587,0.9676171717643446,0.1868223016917074
63,K27M,176.65665117905317,0.04440399559307669,0.45672895094456945,5.105351074672219,1.4045484826863357,0.6430513794863728,0.02140333588533566,1.8649600362172376,0.0889734415342336,3.7808862246071633,0.38329544539053717,1.9659559849864194,0.10347772777921989,0.004728216480867029,0.12926064629123626,0.27174036336115726
64,K27M,288.6663453893549,0.04321136439227258,0.14450121724710402,4.169727445674174,1.9830035108821056,1.6748694522004979,0.03126657060977926,2.2388786665601024,0.468574712156963,3.931582097716173,1.3783202096555414,1.6636965046342798,2.5800996207449374,0.17490796569205208,0.18732296459386585,0.6664990241163693
65,K27M,177.15977105883326,0.04434771128967015,0.4111933896508911,5.8515085497419035,0.6503574662811579,2.290905516742851,0.05142229576271714,5.793159778958028,0.42674476362538155,4.718537405630703,0.11468568037146916,0.825734078161514,0.9752531671571143,0.062352274510363785,0.32654205457145397,1.3969745419521626
66,K27M,176.72131353583927,0.04411005459472913,0.13431463807016716,5.806155278892164,1.7450284732069994,1.2267222706071101,0.028691713416090867,3.5025252116735914,0.25225216034533043,5.477989493102294,0.10508642015191236,2.1296344838996886,0.14418813543333148,0.01670368041825447,0.1670193398538252,0.8283271368565543
67,K27M,265.37831723497516,0.04792216065345028,0.23647235925078802,3.284419435669176,0.46001183640513066,1.4406671968187676,0.025646744965237896,5.772160699139253,0.9328913277948491,2.544972063885729,0.016079877224283945,3.7926082465184883,0.9192587509426846,0.020111101370617113,0.7948893648755833,0.821937018554137
68,K27M,176.96703370319105,0.04410638874418925,0.3010822128914058,5.340943795104438,0.49664448182702775,1.9466267805899644,0.052492591135982765,5.3349022859580355,0.36588306098688406,4.567266686247908,0.28054694963341675,0.6333021802508346,0.6777122967178393,0.07096481734632931,0.3009955875574579,1.293165793120917
69,K27M,177.59426246190304,0.04446997665798524,0.42711358894530804,5.956601524566079,0.5053207133732054,1.8510890971208591,0.0657828655454623,6.090319148126703,0.2699745715636306,4.7485187103547295,0.6160975403292912,0.6665986081608445,0.1838902389757811,0.09496954129023938,0.390472547254192,0.9683645149843575
70,K27M,176.9960486365785,0.04386989347171891,0.47080478341614346,5.573917823904921,0.2762190313008258,2.555436468899509,0.06161390155125331,7.17049295326631,0.3880454632410706,4.314308544613516,0.08751361388932127,0.32786356707272213,0.3324309767733108,0.08950109959091246,0.5602805274650144,1.3109082349079328
71,K27M,177.43340463851172,0.043261220687410604,0.20762030268013565,5.858207282082683,0.8873362024795572,1.7879634502637978,0.05036214797719253,4.667342267992639,0.41993951999932366,5.375939997879898,0.3970617442944989,1.0404628664604683,0.7257293956193024,0.06425856413579492,0.13185038927131784,1.528742325494785
72,K27M,176.5106720763687,0.043883411963800856,0.38678516663306867,5.602041085767435,0.9733404492982953,1.807895902765785,0.024207150188681532,5.446465377513766,0.6806749446188414,4.5698907691686,0.07193325825882141,1.268005215503957,0.16846440997982245,0.01122300429171615,0.025407642370624893,2.258611315681926
73,K27M,178.26252439516094,0.04275213224557897,0.2860733559757458,4.947961288105911,0.4349664829657761,1.9978032157333325,0.06251532179729419,6.053305951707893,0.5722576580638201,4.332460551646449,0.19557911478108536,0.6168748997625453,0.30048437217040513,0.10099069837688698,0.13718835036123544,2.1017320001835857
74,K27M,278.7415755775566,0.03747779839364284,0.27085501777928545,3.204058822840665,0.8654818107072262,2.7535364240101834,0.014762998090000836,2.5137146991481805,0.18457741823268803,2.9113604679890597,1.1200731513328739,0.9128707597671406,1.8381018647337575,0.059750339131745676,0.23927305824616507,1.163057657172355
75,K27M,177.39800666435997,0.043948206447734076,0.34965464643232835,5.8446801582616095,0.8831937774969368,2.070079600255661,0.06519636366965426,6.639345294620165,0.47862759701393487,4.952671565660931,0.07614391537338232,1.1329920713156083,0.050827937648181054,0.09067233296608514,0.3097915329549456,1.5785177596279971
76,K27M,173.40393446597844,0.0437708843652684,0.2788436752521367,5.6735479616105815,0.0317254635162397,1.8655359390898067,0.028680372919979782,4.6945645398896625,0.43857706396426455,4.913772158622,0.9351482227395674,0.0037981288073537876,1.0990918057867,0.01727615186986988,0.14574275968981099,1.435671142000505
77,K27M,176.90458286449706,0.043770951362024635,0.2994534664400058,5.8874659774426705,0.6787073030821187,2.1212954861210136,0.05349814671021119,5.967158100823012,0.49759855243114337,5.130846068055438,0.28725460075930437,0.8546422216276267,0.461556348783142,0.07117673504906569,0.23173638741720864,1.7282828294330523
78,K27M,181.287560436873,0.04472579425647721,0.44206596163109757,4.871355477002914,1.2163288781391988,1.7288125140247634,0.05680397379363905,4.013234691732258,0.4636816776813808,3.708162617032838,0.26113375572661757,1.6245823652619897,0.23456011790705822,0.10079302481993044,0.09134579962742419,1.4118725074148162
79,K27M,176.78705976575264,0.044124039380773035,0.3695326671253317,5.158282576053955,0.40263294433369606,1.958715250260216,0.037471709930694735,6.121784896373534,0.46720372225820156,4.143540064759922,0.24554214405426653,0.5180964324485456,0.07896470637751406,0.03776741541600656,0.28412028376331316,1.5967187640821277
80,K27M,265.70592305507756,0.04659361015419298,0.4467283083422776,5.396689115568152,1.160873167852954,2.512362662072699,0.028772921313364525,8.737411617342289,0.6277830420013975,3.9558303362348375,0.053383723611231226,2.7503906207317526,1.6367381696559191,0.08275478338417742,0.8081326443780648,2.4873891850064362
81,K27M,285.8965381390709,0.043345979963369745,0.47589157768021173,5.273562125622739,1.464619425654281,1.7275182542154195,0.03399167692155622,2.854320416156458,0.44764304736102445,4.4443707753062895,0.45995210967754663,3.0623929397883423,2.8274895984116837,0.07999548051014527,0.8468560054225969,2.33933658585454
