run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
31,WT,307.1331791765191,0.011299724980846297,0.22452406426712146,3.4095282563995357,3.041275005676799,3.7762441374175753,0.09371484403070553,3.2694926786100003,2.2513658703410013,3.4233794833890934,0.8709099620090633,0.15537278710507718,1.0939032245518874,0.06380919701135107,0.6398514605213244,0.49729841613865206
32,WT,310.55972627454264,0.01913027036331178,0.2015128899543229,3.44144551744981,2.94740293889953,3.4351251481804255,0.03549602863938109,4.290129234499895,2.716374053342267,3.317696656352448,0.9328409902133875,0.19760287573405588,0.894760419603214,0.03533844086189604,0.5582783684914314,0.7728399639684603
33,WT,334.1709051195563,0.017062125563259655,0.4558235263298656,5.9625114451506676,0.746824476488907,3.2789901813347373,0.045671626848101866,2.946667913121177,0.6992078188627815,5.664706996555007,1.6681282897942449,0.9588281555704005,0.0261420028714201,0.0070055601516216814,1.881620323711044,0.8288510375766152
34,WT,302.89216754232115,0.01242855870131694,0.2668762696418072,4.349074882665455,3.5276737540887306,3.1129689056144656,0.06462316200644724,2.9881788866582406,1.0745607565419286,4.256357341070639,0.9273557156974146,0.32749143062633296,1.9126594348527015,0.04319336793555494,1.9864547508961328,0.20008972048157492
35,WT,310.11169189577635,0.018540661741087983,0.3186173229468798,4.192933726122182,1.5429176988227011,3.9242541134221307,0.06646510364510597,9.009321903128663,1.6847824442169443,4.035878224185561,0.8547360666049572,1.0707443200970288,0.630247323399824,0.04929502090848968,0.7263344773651956,0.7032079483061624
36,WT,333.7214683415642,0.022382001234980877,0.3712311281477727,3.3631972020495473,0.1327643478280578,3.2555727159753953,0.042221242248837276,3.232855192306807,1.2684311516540565,2.9631264182354333,0.8918356711148165,1.2128865184202824,0.4099329683550075,0.037967179231456476,1.5006125189829067,0.8814854428856624
37,WT,270.5976043036508,0.012180906650939695,0.412915099789068,4.589931569032052,0.7202243377160089,2.1558611802615872,0.053796105684125274,2.4733169340436643,0.36005800274274824,4.354299079177052,0.7431470821207786,0.08587748982145357,1.5573075008769688,0.0534340306664043,0.6402283089095633,0.3886650249844959
38,WT,281.19022981890566,0.012039342494430725,0.3953702190174584,5.118592598575001,0.6162592127089395,3.7513060771622158,0.09470918428267662,6.723608020454789,1.6329395233105881,4.93890715439828,1.9719856731443726,0.015699592496985826,1.2382412844565258,0.047537171231191,1.8835594965840865,0.41187762010285633
39,WT,300.06683039214977,0.01287338752430167,0.4277973682828647,5.45338946478491,1.935622338804274,2.44367163428421,0.009343708760776906,1.47915371414248,2.252700286390227,5.132127355764169,1.2492234098564807,0.3617171651137303,2.417102695580236,0.01989217216024041,0.12130793723312916,0.17169275171094367
40,WT,293.79832161439214,0.018943575519722526,0.13832372965405437,3.1401678322631374,1.6191278503857678,2.4622392237299175,0.02006001775619347,1.7737915241644586,2.4899429796370605,3.020406452922473,0.011740560387210053,0.37640193708308434,0.14543752112742125,0.005597343886863141,1.6968235475473845,0.2967448272301416
41,WT,310.95975422428484,0.013299980534977947,0.422059859452809,5.966052756328306,2.1261086954560895,1.2749266831563766,0.08752376891440058,1.4942274143101342,2.6544068465780613,5.454605835071271,0.8687294261742928,0.1827750888566706,1.6728833035618969,0.04610505806917043,1.6142342096703084,0.06112305530584217
42,WT,325.16159338571526,0.020742878017052845,0.29936159223144065,4.2031467864243295,0.8911633894296189,3.3395848135039685,0.07605589059897978,4.331893215481516,0.3601118693347034,3.794986465800632,0.9194154744054694,0.6265242955438807,1.4316930392741423,0.0012497949711509331,0.030274829875176934,0.42465107063329066
43,WT,221.83210465600473,0.01687363600097089,0.42753920371947646,5.911417958322417,0.4146671805703824,1.2933310180977575,0.06478602946038879,3.999929644466639,1.0820883739100873,5.4898096212509575,0.2624241280630935,0.06372751051722746,0.06371847334136832,0.017749748391418484,0.06907027606443647,0.77180782578419
44,WT,223.243317977374,0.017269563209665044,0.4298500463204152,5.418935303519888,0.4582097163165242,1.2984486323354156,0.06609809437685583,3.62697940410135,0.6564972581758723,4.984185236330477,0.045104429512842784,0.07497534461531072,0.7662076605800517,0.017572248144825577,0.5865492660762955,0.37011850311061695
45,WT,303.2085991963138,0.00514722224949209,0.27174550110501255,5.02216788424367,1.949717317882819,1.5059749638218576,0.07711011068013005,4.657890044284536,1.4746972297847678,4.983931958863627,0.2920803320253975,0.6831138893875285,0.09083860912796571,0.044373221701662184,1.1865654455623307,0.23551782434770901
46,WT,231.0423771973659,0.014379544958619513,0.2819356633778767,5.262814084443114,0.6162586134195757,1.4433636291158194,0.08209209577704181,2.0702144628155152,0.37511671402849445,5.141570459768738,0.9612106417290276,0.0719666655106846,1.758150177694918,0.03738255144197642,0.1497561957280055,0.33624733100164356
47,WT,300.2687168419584,0.015296739470643354,0.34452389711159326,5.474583208209248,2.7017453396937543,2.2065170504165605,0.08596310292817066,1.7851446217791387,2.0995143058191315,5.383751026491533,1.4008381825241043,0.48097657771974645,2.764813085174068,0.0687800554313999,0.20257718962947524,0.5921593072658958
48,WT,308.98927138864866,0.008758845017083006,0.31604105787845316,4.225074973594398,1.169743022129504,3.2104475012918607,0.01853051293419683,6.904582699032988,2.0919586179388125,4.043369182364993,1.5354885476637983,0.0959463430054736,1.0814677388194855,0.002344855787476688,0.7624810068491997,0.45310207585018886
49,WT,337.0855057062195,0.02022038113834569,0.4732857269137106,5.96846513057546,0.12894966816791786,2.271831796223582,0.05128095392473622,2.5575520820901927,0.06596180694854636,4.855393103661359,0.2424009543536395,0.7279096305875113,1.4520816021834477,0.05472865988220296,0.4258081988968947,0.708609308420347
50,WT,347.23577968744627,0.019956621262799554,0.3985217575341513,5.545022321360174,3.809278365291423,3.04159404264235,0.08669855885157485,7.208187810033996,0.26845230961501754,5.006563327008468,1.1014788421440072,0.7843143213450359,0.9967578388460981,0.019798707356292116,1.6914904663456105,0.6592466046613742
51,WT,305.32344393943987,0.016655264444316652,0.3785655755448383,5.6265252067122455,3.2379222861663486,2.1651285523792314,0.08356525959905517,3.0871258768994654,2.971194337194861,5.314089823102325,1.2685895149787605,0.3110939331198376,1.0400632859706462,0.09980285387065793,0.45254113088879144,0.5779397785180505
52,WT,306.1184929959768,0.01949179539915842,0.3030932711973302,5.843792282079029,1.0736323834650257,0.7452512262209676,0.030016176332296488,7.978606002796283,0.22181636635966262,5.466927585953428,0.244392047653245,0.13974111329276095,1.6239715598213669,0.02635528361989766,1.3657853227222359,0.8337060657877726
53,WT,313.0210551479957,0.013984636267522148,0.4312244796203845,4.229025724664978,2.551886112855874,1.7922808457516721,0.05504164993356345,0.6490597878273073,1.3096358199219287,4.031138177141263,1.3614952005283234,0.33503302954090747,0.9838220857898046,0.057735076469796115,0.3694236344185493,0.5620564530163373
54,WT,222.09763162502176,0.017243109427943593,0.4232363945987376,5.532057954702413,0.15158531717714435,1.528180198767017,0.08827589993463754,3.0149071868533857,0.6604431273758168,5.172521769150363,0.49589829914617006,0.011883403702581253,1.3611646149793382,0.02940633307169483,0.17679611696469633,0.5080101253355147
55,WT,334.9098869362041,0.015741213348861107,0.21790917555501887,5.40416068969427,3.703638277355213,3.47341107625163,0.008005901610805107,5.037684203747616,1.1286174004515217,5.242049111935388,1.8517892406219172,0.8379557408742478,2.4130592681991834,0.04549223380443063,0.42251450316419265,0.17240350669488325
56,WT,303.965748592523,0.01097657201608303,0.48281441166510264,4.991182706165627,0.5798146900624346,3.570293851733159,0.07864760799724319,9.719357037327345,0.36179571089794127,4.419564944622385,0.3342481311245318,0.016200206635544223,2.5643714372712467,0.017421495054163218,0.7179832014765828,0.17119243546183904
57,WT,221.58613724659244,0.016411389758940687,0.4269569030893444,5.887338834126751,0.14292089815924347,1.8002362641312348,0.0737770172600709,5.451064029917053,0.2430930179044954,5.513246930665873,0.0571274439589063,0.012061637931029878,0.5344253010872078,0.021181754707773087,1.2975309199485077,0.1537858534012648
58,WT,303.9253371124573,0.018310076764141245,0.4998440154338686,5.873666006079208,0.6003556544193329,2.9969275591444626,0.09802527427353974,2.0682761093452458,2.439715150936394,5.412118089574214,0.9190523250088102,1.0632549745436886,2.098365877997314,0.07354771006804384,0.7651915979528154,0.7907142581134186
