run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
20,K27M,177.69135577126988,0.043270726456548385,3.840564324937426,7.933860186373406,1.7953677881335735,2.3778979134168923,0.04347120267328446,6.866347435569197,0.5001754964640407,2.098482236872865,0.2227546459972873,2.251196463420237,0.2449688393920995,0.06203878228591812,0.330854926810581,1.8421012554345766
21,K27M,246.96473841964908,0.03855287527826937,4.59311695915361,5.411875946246756,1.879640543779285,3.0617817086448427,0.09622490480632356,6.938611497380127,0.5531505284608299,3.4197932786439353,0.014076142706393457,2.7837567877521394,0.6274072815154978,0.15250166166944523,0.8079234840008179,1.1622955386475597
22,K27M,189.95861465092682,0.041427258980457175,6.507116558044925,7.813503248547722,2.4254794077682407,3.452439976749312,0.07385155335938923,5.4682175205275225,0.7869422216991073,5.905801360151725,0.09301540667371666,2.810021424896448,1.4463454959895428,0.12971168045215115,0.2093562115267247,1.9762423684654906
23,K27M,177.11240192994399,0.0443198232245758,3.5881272792070433,7.703482226281977,1.7024994737847006,2.4082677779593196,0.05794671098462992,7.195617749566056,0.28397200850161475,2.8678472177510277,0.017597926549954696,2.228222337947998,0.19704296257192158,0.07781351344069666,0.582249430548432,0.9573859534958336
24,K27M,187.63705801348198,0.04020578443587109,7.473907830358638,7.8581796687788765,2.792581705008353,2.5111319580238547,0.08549604224453866,5.440222120780136,0.45847912287914894,5.187553879303572,0.43174290856532965,3.6262045253222377,1.4362417977084405,0.18887011278908025,0.17615561598388613,1.6370242070320844
25,K27M,177.83684233286448,0.043628076031869155,4.298677473680631,7.10206928285741,0.44594483113823785,2.5303604070529273,0.07231699561214693,6.680870234715989,0.35140223276602894,5.231902911251064,1.0173672964149338,0.4873390160754238,0.04174358381300307,0.11325712969418913,0.5021313534508706,1.2772311970510541
26,K27M,177.4473685020368,0.0439772773948392,3.457966646797341,7.948865622614627,1.9678355508396335,2.0554679788852592,0.06494754401350095,5.9440520554976235,0.7351558841424644,1.6529165922463034,0.2794825591351568,2.5872603188974352,0.07659915959630602,0.10197645394662914,0.055917885492948106,2.694610031345113
27,K27M,179.06288519717128,0.04443844916750888,4.208635594672873,7.382603680945023,2.0762464431255174,2.284656619366024,0.06041703801389357,6.69042635311412,0.4106958205229033,4.255362957790824,0.229181969271596,2.278864260438379,0.09826186826092995,0.10597600004928631,0.3570106848296381,1.508467762714515
28,K27M,177.67701620972025,0.04314371558381293,4.392745808435747,7.539137870069073,0.7337344720813498,2.5901433364677615,0.09049370239035998,7.365821344720401,0.39354732565865896,4.086236636090323,0.5929086215937694,1.034003575272122,0.15481609076079567,0.1578383873160857,0.5845392029027291,1.4168193380383507
29,K27M,202.1246685778131,0.04269352234969671,4.46489959233994,7.749933959423783,2.398896737252405,3.2809193169406634,0.0974810886222049,8.152092933267534,1.0421031074286482,0.34419500763062005,1.2942738004538916,2.9803900980426428,0.8600504973107662,0.1945580912437932,0.12115374048559256,2.7693809143252626
30,K27M,220.12206793489156,0.044626712007876004,3.454107733779936,5.949866705411766,3.563927545227531,2.2165397366318373,0.09088594662320555,5.109738641408985,0.4082848563434307,2.6116597870535094,0.9824953772224863,2.9050292126775643,0.019561610061789025,0.1172002455838157,0.304251933844886,0.8618888943923437
