run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
22,WT,294.6627588954027,0.021663655357813314,4.630546662760892,6.262888827326286,0.9727210962174482,2.3087503954835995,0.09343071615532891,4.4158873050500205,1.2325155515405952,0.6061405358428282,0.739796080166633,1.6897480124024216,0.3364901970414298,0.03522410575593771,0.7134110286860673,1.3779675372677525
23,WT,308.4100504199109,0.02408820412490499,4.798857753808276,7.459334491085496,3.7818709600754534,5.78274298338426,0.12480059224115195,8.243315978316659,2.7774308258474902,0.11929604353218615,1.5085148503764902,0.1641815586360099,0.6432873875035519,0.03774513077628492,0.050324862658474856,2.3909063469446843
24,WT,284.822385618123,0.02105238875399751,5.475528510217102,9.30612839194864,1.6473343625435737,2.358987486146922,0.1489726895810627,7.297790567406249,0.6021166015878627,1.4189533387447577,0.007656834491013953,1.5022279329260884,3.0534324632152847,0.02543939126522396,0.29029448480930364,0.34784748267505883
25,WT,306.70515070391144,0.019284211382396686,5.967742134213038,8.440733792816136,2.307937818941223,3.8334010359699393,0.04079747001619732,7.429965771260365,1.1232803344014182,1.5638722765992927,0.27738880239769514,1.3879415015129912,3.91811295659317,0.014267344910696683,1.2302612328372873,0.3666837426700207
26,WT,276.217472901745,0.02075986143430628,5.944990598561201,9.885631806825305,1.3830198989213442,4.075494438514932,0.15730684837570794,6.302159681977631,0.7253729984590465,2.1949893118225354,0.20999789073454334,0.8642863864259749,0.07399184629341282,0.03943315160217652,0.837505774603907,0.6099166228253006
27,WT,283.52238447600996,0.01881904076914028,5.5916202847861145,4.93863081569766,1.8770823144186481,2.6747688077470295,0.07801978956552678,7.276795571328046,0.6737807781790692,1.6288467297171279,0.5862895486684135,0.08891631658224797,0.49842179926369257,0.03219441722661186,0.1357773889544539,3.09675189438709
28,WT,289.50385354798624,0.02075528503954445,5.790767208691089,9.180745007390934,0.8617278435151117,5.712090392918073,0.13509311992770542,8.997838787923175,1.0701952903984047,0.03947303601670238,0.9339918514722451,1.8063846889114394,2.888977575706987,0.048604510206441895,0.3319500796872065,1.0646097800109686
29,WT,307.35875481614886,0.019004298134153656,4.200676408019568,8.216151788078017,3.8853729111136666,4.083353753657887,0.1775685330039518,3.032060415808724,1.6787528148874322,1.7327724820216803,0.874800547722461,0.2910345466350842,1.7120807628439492,0.04422600314894621,0.4605381917205293,0.24345291782624634
30,WT,296.1101601374305,0.017572311406075413,4.875643184132695,6.70328326531775,1.0515800379390399,1.1280108823750665,0.12405458951741273,0.6320986351110178,1.114024261411199,0.4411453774545133,1.524513974767794,0.0731274828543832,1.678343931947556,0.012561198967034858,0.8039904952851925,0.2574314176523407
31,WT,293.1850010289994,0.021224271479828236,5.7473510761213875,8.672408091680222,2.449799476697596,5.3608991732353335,0.16724007109038297,4.544717803442382,1.5623013909464536,0.5682003911152009,0.7486035136867056,0.6826349372801864,1.963235499313941,0.04845112372938876,1.0887959283095778,1.0102699536647588
32,WT,282.80689983769685,0.02112307034543228,4.786470457955826,8.045957711667176,0.08931713273776865,2.9545095902066283,0.037887990580869536,9.29567060336015,1.362543348184015,0.7444365158400388,0.5584423587416305,0.9119359727154546,0.2557036394141443,0.0026925150374333337,0.9076081860248155,0.6967277737280457
33,WT,301.8707406491789,0.019384846889170824,5.4213596571168505,5.330162819678371,2.1526027998591815,5.796950463702179,0.15958650401063285,6.667977588793221,0.24765150614204856,0.9603158413805045,0.25912775578808245,1.0138569970852607,0.37126877563806615,0.0945341887132228,1.112676382793891,0.5012891023736048
34,WT,303.2232854869377,0.019106055120717672,5.078282874218473,8.876191183237813,2.794550997098045,3.9897445541160406,0.18938220378396026,0.4250300199357988,0.30898111883898793,2.525986594173755,0.34679754849100686,1.9506802497445799,2.649333545570145,0.03668562405620368,0.09331636980244484,0.04987345791908915
35,WT,321.2514588876106,0.01813624468137624,4.347147534512191,3.6901848963513295,2.8247847922993916,2.1669505851026156,0.1174113598057852,9.374307528803548,0.09182380915863142,0.6757306791399076,1.1470127897784266,0.14469110673627894,1.391792287362243,0.06483975429927205,0.7999047809962606,1.3181530046112302
36,WT,272.9910090311783,0.020919873984607942,4.693554394128178,6.885461358297194,1.957836195447522,2.5319845712921705,0.05291144855742104,3.118926291342385,2.0625590812715076,0.16843325471022447,1.195216453256657,0.21002775620334635,1.7019339640451094,0.01670336675134606,1.2398477759604785,0.3301594533944898
37,WT,317.87127707795594,0.021126017202646605,4.278110643783903,5.595813791325061,2.6202188818324292,5.970291454153681,0.19507711393380392,0.6430469266556385,0.9132022910177254,1.6856236855375228,0.2277328902869984,0.09449123402182591,3.8100531500495802,0.08040417736184416,0.4094398434799863,2.7402678650191987
38,WT,307.129384558172,0.021132408881262815,5.036166909275749,8.890740626349343,1.8143747361830695,4.926012695336031,0.1608739991055378,7.342142977533435,2.2236178791205514,2.18191162022474,1.5393560012441232,0.10677601991510785,1.7644840886349924,0.023977420898701352,1.0058885970159381,1.3619066064464547
39,WT,312.7212689344774,0.018663622823281118,4.918085099604827,4.682660122428391,3.64680934286301,5.93691636497265,0.16344512696609992,7.75433297639471,2.2704122217907696,0.7835020600171778,0.5030881279130375,1.9250392200723796,0.10582358236629552,0.06962703642266774,0.7110484904741388,0.5761680204898147
40,WT,314.38505978754495,0.021309912147964422,4.199340190064639,9.720646006358338,0.7710867483307129,3.213692742328738,0.08977361032246862,4.397182616268228,1.9943821840945821,1.5270964883416802,0.32046710651932364,1.7312374699265534,0.15653470244761514,0.007202946331538729,0.7583241961682967,2.1745291722399367
