run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
67,K27M,333.8786087270037,0.038287711574599606,0.45259174751132797,0.030640899035052606,0.21280851233237352,5.504738800060563,3.312356441348056,3.3586715519781984,0.06927472792988444,0.6314056419162615,0.2479597701576626,1.6536714342705265,5.992183513983574,0.631181734468091,1.4381949022183362,3.2571507797560093,0.06285987493686702,0.33447999943757956,0.8114340763974797,0.00154166091999108,0.007895465328834096
68,K27M,198.8114441333759,0.038724761943627346,0.480725821717453,0.008959330872383119,0.3698305737980652,3.17623478378597,0.6364598642643222,0.8540598173205236,0.09307279779214121,0.8588290840232004,0.6374083680142308,3.0902977507610956,5.076597134387283,0.17926449000879016,0.8726436025730395,1.7807421577115206,0.15935502157279519,0.037107581598015194,2.253537799728643,0.020346517202995098,0.006684206726608879
69,K27M,340.29511808526894,0.032786693419408854,0.085563572394874,0.024735258161484728,0.3743122313329187,3.7056245422533447,1.8370555273576405,3.250580367495471,0.05094058516701052,4.471363015589569,0.7729309465453071,2.2885892746311374,5.265606242697709,0.32306842540765457,1.9968479331768334,0.49203190512495976,0.14762606393117664,0.6670422741536917,0.7452924311684233,0.014570166384817597,0.021636072385386108
70,K27M,214.77794606156698,0.019944279884771817,0.48985511989678177,0.0037847127831490933,0.09535873701234657,4.155594426313329,0.22173206595608802,2.776090901473825,0.05588995172894985,3.1625799981395426,0.7128648201904223,0.9849283881835652,4.475029669533161,0.3511401785453723,0.1835800106573994,1.7383735139209195,0.07912820468851675,0.17320510907234044,1.7209495491994524,0.028792861337077875,0.02957599210464717
71,K27M,368.58718948269507,0.008576841995838032,0.3251115039721494,0.028272805551888647,0.24077581794580738,3.5885578062328705,1.132122306261981,4.865410254732286,0.05648132925440629,9.049166222210195,1.2562389558609206,2.7570964730371665,5.698807034436662,1.7796477233265844,0.2012145822159752,0.5430518123116888,0.01719492840994994,0.7507738930006895,2.395063755643493,0.021949805770814484,0.01670783419841261
72,K27M,232.71866436757568,0.030364876266074384,0.46512843142789834,0.013064424583869277,0.266412464998509,4.541627069749579,2.067858365923433,3.0622802231536403,0.05208839400188714,8.081462995613862,0.2832424189381489,1.6792213570184993,5.553811844019014,0.051689329271981256,1.7870879581664154,1.9543073310771941,0.131483281997987,1.0658166864831529,0.7114775003500806,0.02193631417697397,0.015610979435607766
73,K27M,264.28419913175196,0.03389230264078569,0.1264318524763852,0.027086167736840014,0.3304353013357745,1.963793597531157,1.921720531353955,2.2175276149160585,0.07310426019757918,0.37368939246599986,0.4753777672528594,2.747229053548533,4.365905975141369,1.8627475313700792,0.9293568727016616,1.9346561454304996,0.1785458777605317,0.4034034071313771,1.7562332879552385,0.008547349489930328,0.029216898082058962
74,K27M,353.62041750523616,0.013019905338338477,0.4119094627337243,0.04989652689862868,0.14509518717382575,2.2685625572036834,2.9647474268637337,1.4891196452640962,0.03463707991666967,6.758711030489977,1.0815376152381186,3.363170801664676,5.040843753957455,0.1394587429946692,2.291527210477085,1.2878494586467069,0.12049263246985872,1.069431876646997,2.132411105251454,0.004746265797963573,0.04048692077589196
75,K27M,198.6851095440311,0.034532539858117176,0.4738678929610913,0.014544257835762506,0.43528851863388474,5.2757695832632,1.2444131531920475,1.2289921815203835,0.0782148472215992,3.5090720933156705,0.621948942540252,1.6037795612372945,5.615674786836506,0.10758074569662097,1.6494167521511873,0.30850331357025196,0.13924985610415108,0.1715292322628134,2.111872683642481,0.01754864285425078,0.014380894321561744
76,K27M,198.53585971028346,0.0360118002954694,0.37755071456101974,0.022927150472985595,0.04018361162177153,4.4402852193680085,0.20567776250141942,1.7316504117912803,0.048990519028139175,5.308235804730989,0.6068099972185488,2.02728168378294,5.883255410028719,0.45047585064233214,0.21072827249215692,0.04862051206206859,0.07309232413158531,0.4565420214384388,2.3353867992795116,0.013403350058917952,0.010122274231932805
77,K27M,198.96376460839613,0.02963705631442318,0.41732153123383886,0.003590590399232485,0.31087456735727115,4.142071340297301,0.4061748209853247,1.5083705911396053,0.06725703376384061,2.743637916919197,0.7626058892211408,2.229241788209883,5.4159062065043075,0.23507755091518445,0.5375657914599212,2.0478754529790644,0.11069814912485663,0.11365031144881363,2.440937098300103,0.023385087423163323,0.02311450938620599
78,K27M,199.2311567989397,0.0286109137453649,0.4455065162313999,0.014340526071736531,0.08861358887809573,3.1304440850342994,0.15111926530326075,1.2764966422200226,0.046214601842617,1.5781435355251334,0.6414540428712906,2.91780462449729,5.287151255793825,0.356293906577373,0.15267762254057565,1.8004449232570137,0.06505487449243713,0.2106450573722354,2.0185621346295575,0.018769443889441313,0.022967250367899646
79,K27M,350.7905204855331,0.009536829438535142,0.2636217689014927,0.0006196399857079527,0.040974378623112706,2.6117374665559367,1.2978126200403803,4.832227992362973,0.05210913107293722,4.147869258582934,0.627668056062376,0.9205346639372189,3.2031570333905646,1.5655317371651498,0.8734784840836527,0.7053118472447499,0.10357816606921921,0.7270670847410494,0.5090455796721898,0.028097921780843697,0.04183780008956921
