run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
13,WT,280.9523720944539,0.004820537771311089,0.31586504363115986,0.011206457941061593,0.4980453736424475,5.274233852378972,1.5040189593387148,4.98955051913255,0.17332002381835632,5.359785127787719,1.2865407112421288,0.3351679820713483,5.44547189518197,0.6278069384437399,0.07925673326986947,0.3862518585000705,0.0869142843321593,0.14258588872745204,0.8414454301254249,0.01608282904920453,0.0020728726460461848
14,WT,395.61151792415757,0.0038172029018104948,0.24159676652522624,0.013389235340191432,0.008102347464247359,2.4565608839965303,0.6431535880350592,0.3048031283961852,0.1461635747703558,8.269428369209352,0.6621283236963844,0.2851738724282871,2.833117867549572,1.7131354951951456,2.4654375815200846,3.86648718950004,0.07447182318480751,0.8654064989319218,0.2916379629360523,0.013548098641593277,0.0029220893590885494
15,WT,376.09029369131,0.008119644614875481,0.32849654565257685,0.010352621254420265,0.1910192416353675,3.793588995807876,0.2868531191167305,2.1404163171970483,0.022314747351089487,2.2444933952473445,2.4521508124099958,2.0615416503576807,5.5168502655103655,0.3882357360428822,0.07472641887736106,0.7913343168263838,0.05792692398459424,0.1124310436231647,1.9778814252444885,0.04395023111517519,0.0013592594948523794
16,WT,421.42005121036516,0.0003116481947937431,0.12210855249442987,0.004034062130183555,0.32945554435468116,2.1215939942675917,1.8931342750842912,1.3930811210499972,0.07976616121117747,5.801006454219397,1.2795436347421523,2.605199118339619,4.130472857473393,1.239181075356671,2.703368615217965,2.8643494094411173,0.046334564058944795,1.7378183119843524,0.26472420239117156,0.04555987261425654,0.003660377927216376
17,WT,401.99087314103224,0.005421338699337444,0.21746150784694293,0.00921843882456974,0.19180037965310545,3.179556907232903,3.892341505783978,3.612508241104854,0.029330444123886967,2.573710157815108,2.5969606106716014,0.3241375205939565,3.368261079974216,1.068986836364674,0.3848539033451597,0.754334717614392,0.005893775459947244,0.45890805749133645,1.0771196559404528,0.0012915175608994361,0.011989936923106095
18,WT,429.56084722984815,0.0021343403696947533,0.18566079348606068,0.010766655979204894,0.10312086256429281,0.6071887402569982,2.2441514053863134,3.3939258094968876,0.1083312294363869,8.491852240467761,1.5850670578606756,1.4580120041061022,2.1113189852634227,0.04002078143902299,2.668623132640129,0.369448736428752,0.03581038603391937,0.904202275887678,0.6294168788630596,0.006705604839796882,0.008131212396788
19,WT,344.7719581395479,0.0035169096207330287,0.1715336258000493,0.020682287560081808,0.479464034442355,2.58011183459033,3.6175484270467706,3.0148577542378234,0.057662329329266584,1.8022970696425387,0.6943454956886289,2.879838203122139,5.105849008386819,1.9601771741405603,2.788453108064171,0.6009717787399128,0.013203321571406704,0.6347661073139063,0.833924542438145,0.006712985229229348,0.0006469816371663758
20,WT,308.7369000546804,0.0008162667327268776,0.32225582937396074,0.019264998038886868,0.47768690039227185,3.564918981585847,1.8456230758584962,3.5702169310770784,0.05277783587037729,2.0289001241859967,0.9775208764178307,0.2226191150174961,3.479758307624936,0.0020288257039587677,0.12445411471358711,0.09121649072620795,0.03137937081666721,0.021430060336891134,1.7365727622766929,0.0023027553333478303,0.005076179185876227
21,WT,343.6559169357305,0.00045207470298551,0.12742782136234118,0.014724612146138709,0.25095852416177133,0.7736997042735164,2.321667692651943,2.617143006635042,0.13399822281305035,1.074475595913538,1.0395692048881187,0.9844837547584948,1.7356069828778735,0.6990492040863753,0.0058230145775016685,2.942835182994209,0.08198168654226004,0.28069007936477863,0.2763326464582538,0.011122115810674394,0.004210830915571689
22,WT,305.77068225725566,0.0027090615987787497,0.347680350693589,0.011626336631799903,0.3379940438459893,2.507091598956008,2.6531884078077064,2.153270549017053,0.13981799585956275,0.927441653849929,1.349424106313709,3.5618744092085732,5.936855099465826,0.03676727764787074,0.3216152363270532,0.5685097262550167,0.056848033673890595,0.01644346749534733,0.9109271443156459,0.01723069096852313,0.0023069025818076012
