run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
99,K27M,198.63741930416228,0.04076523704935394,0.3193958811693305,0.019971094299849904,0.2596338192084182,5.706204391725776,0.4091865313296765,1.9749631664268559,0.055486008630739735,4.586714163867121,0.22336258792803446,4.928995042076611,0.7568063663517094,0.4247315165664594,1.1980854601609348,0.076897038803164,0.3133317442408089,0.7927046795218292,0.013886288385031212,0.0024670405356891
100,K27M,198.5244052978179,0.026389837827036425,0.21752401609053346,0.009482805190207501,0.030634719402099116,5.507658407500818,1.0800538134172404,1.8354733407472312,0.035970160151983,4.990639209729681,0.3907346431365707,5.133089404462282,0.022823990980188273,1.3651574593472524,0.9585278449508452,0.033552347072393005,0.17714077469768186,1.3322137427376064,0.020542304109386206,0.03131101854368193
101,K27M,197.1953826744588,0.04104981168995191,0.3771351493098709,0.0404560342247158,0.010442278254763382,4.593763275009589,0.7754495695178188,1.2202402711900435,0.06775659052970372,3.3317371938958624,0.36588417901525433,4.006767712279809,0.3810852668103597,1.0815428268896108,0.24821529398541592,0.10069247552371505,0.027046331732558774,1.3321808025444544,0.0047902137849150095,0.0011816095994665692
102,K27M,197.4297197354418,0.038561422928698894,0.44592002637351863,0.028711682597180342,0.009492448859597831,5.606991759122003,0.8628303552658706,1.6417207398048907,0.01855528587932255,3.3508270033827063,0.18547681221885323,4.8170781418280075,0.23829316389327426,1.0413300352964054,1.7541898152581517,0.003659434200524711,0.20998041253604752,0.6292231167569744,0.010183955425256429,0.006638747075421887
103,K27M,200.877615093911,0.020924197592548835,0.4794780721618931,0.03216310237719908,0.414841825861885,6.783368455235336,1.0512231830846936,1.5719247560292884,0.048692954291026914,4.923070927066557,0.4626541666879509,5.46423703608678,0.7569073189052901,1.5781800949182723,0.12679648340710514,0.0531267129207126,0.11311248102425835,1.7833378739412686,0.008668896892471594,0.04421227534660829
104,K27M,198.78892924766393,0.02489272427922156,0.4178420521852535,0.0005377147602429687,0.1783107197877961,6.638313206778331,0.9723723589511385,1.2637434034249102,0.028798101015252646,3.315023481211217,0.3408253291987658,5.76775638620058,0.9006752199724889,1.3651820674066215,0.5611969671647007,0.017082999827175,0.07656389195711948,1.1237594230036654,0.027487646626423588,0.027363156822087988
105,K27M,198.64826591124796,0.03525684459442565,0.21859684667243026,0.006983052809675632,0.20042126242476777,6.199356798678907,0.4197057445780692,1.920780226371599,0.06839019539660743,5.336465818975532,0.559905869249363,5.696114477252586,0.8606596783896895,0.5875270137518522,1.0966063364488596,0.11139364121008127,0.10807102634083983,1.8658843163677832,0.02194775157336003,0.01308455635206147
106,K27M,200.16336986587163,0.01335900351706716,0.40116745766041784,0.0032099453243970054,0.3761271281327091,6.1629207815207465,1.1158471564249606,1.8774713351695007,0.026369263535944213,5.01198531476131,0.3408799461704025,5.078980156997882,0.39338141559350803,1.4960208917849498,0.9838158076662845,0.012418243824298182,0.20826841035363117,1.1388308562863045,0.02831615880516834,0.044967235766143906
107,K27M,198.49620324557424,0.02797139116794056,0.35087860047307795,0.011949105985124626,0.11587534426709646,4.84073632036901,0.7775600570843259,1.6834761660956228,0.06730558902274547,4.117077653109874,0.33324158276842586,4.157926808671244,0.011210602644669698,1.0254534684911736,0.962846621915354,0.10557600688301931,0.15593002113074594,1.1520868537072595,0.01901443949859543,0.026606110748879246
108,K27M,198.59707565251455,0.031794408211328055,0.41642769604840163,0.0027521061401520716,0.32980620050160026,4.7621735095759625,0.5844065839291372,1.3292698015531796,0.04996459419827461,3.729842426996031,0.1342678024006345,3.7177307671335234,0.7412918613426982,0.6665618234313914,0.2648868599742752,0.06483829998272585,0.2932487975692884,0.42586399609666303,0.025422514269238743,0.017526683382071973
109,K27M,206.29294527999306,0.03051822552924526,0.22121692828539494,0.027664477909153475,0.11533734614139154,3.997261188083083,0.552368763406829,2.165995760444491,0.0687882805149131,4.550394777553866,0.3491708702549964,3.5820515072780355,0.007325919046249855,0.8276845083523857,1.0725808808042918,0.11009081658497727,0.2340126501128368,1.1925248896505998,0.011472522682533704,0.022966266351446614
110,K27M,201.62758772377504,0.020364222678200167,0.40055830679703247,0.045251868581122116,0.4663071290187004,4.133136199270542,1.0081497882285873,0.8958823525459554,0.04426646144275242,1.2548639717513346,0.10374256571862356,2.911182193100624,0.3717973911689762,1.1865027653096234,1.1382234514041738,0.054374264774567964,0.014126202450985179,0.32020808707548104,0.002134063917751646,0.047738051029964715
111,K27M,200.9042322705402,0.02438251301864712,0.36353261522835184,0.011122654058990294,0.41854263847764694,5.3417346244496535,0.6100778979604053,1.881418279153718,0.04401570194941046,3.9111183340028406,0.1177395316267433,4.244331202464625,0.4043290380947665,0.7460491111696435,1.4456776112395737,0.04555469853275554,0.4027936962034272,0.395906369143572,0.01998305133517842,0.035865185020730814
112,K27M,197.46636628407737,0.03596455515722596,0.30172116795942405,0.03198194069659038,0.0027500145392684444,6.298535734695475,0.5535269691587916,2.232000333808006,0.025695991486629804,5.626437800463337,0.21827278494160193,5.823992360200073,0.3810940819936798,0.7677299370741533,1.3922480505765376,0.01991970528173996,0.5108581848461592,0.7235171882242721,0.008848222150669582,0.010578627600414779
113,K27M,271.02924539696915,0.010613323166145404,0.19031439330840305,0.024728572830885823,0.37523726176524186,5.236289979323788,0.5761184010359547,1.0661463663291428,0.04623825097039985,2.166213747887549,0.4056118592774928,4.039547418865865,0.9523840314572671,0.3839992581888201,1.1067966951460195,0.05909375670027147,0.11026220291248483,0.5631772901754845,0.01831792192201657,0.046518563293717306
114,K27M,198.93429715230832,0.03268601195096919,0.28197530327268383,0.006663668736428744,0.48059284098252447,6.597544562923485,0.6926143138021426,2.1953232144337,0.05029005134877071,6.201474204270935,0.15748498194686664,5.675539387985409,0.49667617959781396,0.8633241415601117,0.8346229386087443,0.06573603355321166,0.5855864112289872,0.4970353591722013,0.02378048716810078,0.014124383141377967
115,K27M,199.90586044943126,0.01988958694922206,0.42853350334988854,0.003937927348567598,0.10837279393198977,5.339841594921215,1.02273062638343,1.455386622163566,0.06723847592630595,2.8408211102832435,0.06155890673002436,4.4781655093866055,0.3258530372634373,1.19987674083763,1.4114570077659316,0.11681870389035084,0.2729186811422848,0.17392192161325112,0.02258618820552037,0.04517083818977472
116,K27M,197.89867856755487,0.03975040080121147,0.4659639186036709,0.0005934497604141738,0.0985238493534635,4.93605619665014,0.7050928105785059,1.4630625346048576,0.05993605322754754,4.503840512918918,0.48279331519757845,4.124227447188535,0.2573116561418336,0.9704515319698218,0.23160486770909436,0.09648748439568666,0.10819758968679419,1.616135942693391,0.02748737768863433,0.002108591970488683
