run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
84,WT,341.35555300740657,0.003907583405282923,0.3668864240245332,0.007503930820188692,0.4603307901213521,3.3960536900385283,0.24242292831025966,1.1993382510318709,0.0704036255448596,4.982858155948972,0.5475653130311031,3.052066216981043,0.46707288612696823,1.45603948800387,1.1949026623182948,0.047128642975386145,0.8400916712117487,0.5680574792518703,0.028497250234633526,0.0007384436617258735
85,WT,292.18453814867047,0.003665374251124987,0.2923551315085146,0.002581595435478222,0.3923193996443913,4.589428286290079,2.027917297427212,1.9297141972016776,0.016991186984401323,4.024642250136737,0.5228214526956905,4.3613604972378095,1.0755370684731047,0.18414269633505487,0.06694566452122401,0.00946229680946813,0.4488214835509075,0.46275540327436804,0.030630199700345324,0.003849861265572911
86,WT,266.4778611890364,0.0005330508026351866,0.32164474616479277,0.014407440522865803,0.3602286178750582,5.432648150029231,1.3243827183135315,1.4313409944532767,0.007449768889866196,3.9222721510195466,0.5332666426998686,5.172881949101426,0.35958341102156577,0.19345435583894732,1.3323791996439542,5.211732917125608e-5,0.11472807333006282,0.5179404687001271,0.012310016950414409,0.003653823122630065
87,WT,326.2845107354311,0.002811848090547715,0.1427970974254993,0.0038173639481533447,0.2672778401471884,4.6422331280842215,0.43333626757665944,1.3875327578563064,0.07101212238408455,2.6496294095416095,2.8363404844349813,4.494004256680369,0.23405350888416687,1.2920958209800082,1.9711250749073757,0.0683524805416368,0.3322444016168461,0.27373110732230266,0.03562242954282307,0.002350183740170682
88,WT,341.9820488449577,0.008674655207739074,0.41046409793844946,0.009504412484119044,0.34513996278283243,3.3657769306071463,0.8350974614119976,2.400420077327228,0.09059846019302473,3.8422490921839585,0.7872822023630719,3.244445924135184,0.9527450561342273,0.23979331760613595,0.4160114272806838,0.05152250414579326,1.0723374607258478,1.529241459440984,0.014719119889281686,0.0006582665067681
89,WT,314.90411885981274,0.0018434185403302641,0.363339792369227,0.01557371364732138,0.3765042623057631,5.180544345978065,0.49143937245854385,2.4649104874339716,0.025302935053954242,3.8324635813097467,1.7112866399534952,4.904147562851806,0.03936493222544024,0.4640239928933108,0.7518424707606924,0.04334091050921518,0.5685825437124752,1.1302299586074878,0.00896831820689326,0.004119780186594229
90,WT,257.911577281469,0.0020067470399510396,0.06959957532580842,0.006987011495926595,0.49261007913158056,6.261458676361498,1.4001186285148026,1.1584368976863557,0.05185986445067613,2.92734645624502,0.9172865717735323,5.981624274010889,0.18350274044137377,0.2506731948637676,0.37447563907140785,0.016465472762021763,0.12064971897742714,0.48804754399859474,0.026964041536048006,0.00239453384766739
91,WT,255.07770078095547,0.0011286575352716477,0.28808107653288284,0.007285918125731332,0.23348621294572333,4.4566873398350335,0.4432876339805131,1.0027056425906105,0.07633934890321836,1.879364855693732,0.3351621235880363,4.2558449380502,0.04931285763686205,0.07629255344545198,1.4001378133979165,0.026461684506611433,0.1748948274192039,0.22169292881903319,0.029413471987533774,0.0028609035482721947
92,WT,259.3252293150116,0.00044832465655592253,0.006956133125617912,0.02093304318446882,0.41012180754843924,6.1890679678909475,1.8159582212064607,0.9800494397630948,0.024548687383276615,1.9921707881030124,0.45181010155910717,5.964631338271884,0.2262434185047349,0.30711214655954994,0.5542885618146774,0.002462178731510152,0.16643024200340253,0.3035550805106239,0.0016606073356499897,0.006133117412741744
93,WT,256.4934889263042,0.0030470294474144784,0.30226462128979337,0.012355414111928267,0.33413473717743714,5.420963237340922,0.2067261316531213,1.6590920086747358,0.017658344694620125,5.6261257822704875,1.214463951487037,5.0702702724251205,0.14714937875942158,0.02714467319612794,0.19812039326501923,0.0010243093745011993,0.13940061667207143,0.86084235298563,0.01766581670456685,0.0028480887295760336
