nb,run,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
148,1,0.022237623116557664,0.162162600407494,0.0002302931904949769,0.09394190193838697,4.3576262239505414,0.037189739308526225,2.3075300777791004,0.0496957023907084,6.8341426666869545,0.8662860425560956,4.082208263272816,0.06161119799423603,0.008590099540733384,0.08393610585054331,0.08053023827843153,0.4064189793703657,1.8879984257072757,0.03472636148685427,0.018079827337729608
149,1,0.037241748776197466,0.15686419101004914,0.010266151962230506,0.11621346719278902,4.409024325275744,0.06834195941016355,2.294153711444113,0.05243847894602182,6.886851825534617,0.8551279943257649,4.060151183794338,0.08234033117776308,0.007149947213603287,0.025183814685902018,0.16544408512711126,0.3594122836452367,1.873503838024132,0.008347872268982214,0.012001987677682761
150,1,0.03838150794328803,0.14379865759849678,0.01083026369055543,0.09640998702018383,4.37934148191623,0.028639865023038443,2.293333929675788,0.03461950136786351,6.963012987397814,0.9020458984657952,4.03775313264531,0.1133561826112521,6.19405236834855e-5,0.0619547182333756,0.0771007193027149,0.3121958415381676,1.957384909805815,0.02129652486796232,0.018137306893728444
151,1,0.034890958893914255,0.15393446479086909,0.003301402836055032,0.12782666104864415,4.46909336841654,0.012536231606451802,2.3278365019225835,0.015753403821019148,6.940632899066797,0.89019864950479,4.035947944779572,0.1908210947912106,0.001455455375284949,0.10506070355275202,0.04899021239127225,0.3802909908534415,1.9686841361101406,0.036102102692099354,0.009329832398433406
152,1,0.024790201472774276,0.14197495772686763,0.006360575682894592,0.2249603591190446,4.485626493777182,0.03750918346110858,2.3018331684668767,0.047619315512124546,6.896672223123749,0.8218674806208872,4.124387641679787,0.25148738539495813,0.0033839107487639197,0.18336050071142287,0.1166633754305502,0.25886314681520883,1.8672260562660103,0.04913285048385615,0.009775706546972174
153,1,0.02777442283295133,0.13819407246514023,0.007521090430482706,0.12925400234223008,4.48544109387076,0.03899912627507824,2.2740006836789157,0.052348959526866225,6.95849126795918,0.8542224314779887,4.126688450480314,0.2715876429727567,0.0009268780837405999,0.06759072090207821,0.11263871813248932,0.2943644924795778,1.9071689351552765,0.025090672652215346,0.0335558754811508
154,1,0.016010911886970722,0.1259979412291719,0.01002572357900126,0.11331237762060786,4.439604109441596,0.05981939625387186,2.318686520680718,0.061790807377718616,6.9472555233007105,0.9006581410792872,4.1260405306411725,0.3349431696535664,0.009497164836814842,0.14529161260821372,0.12208541816664882,0.2238183378192137,1.801310240553309,0.031225934578396345,0.028111944696573337
155,1,0.0040605537605542105,0.11594019012604405,0.029141067424038835,0.10365028589106666,4.401186214067119,0.04708131457221698,2.357196367377022,0.05275105869801447,6.968884182792079,0.9500016636460116,4.182663302055242,0.3100739277193055,0.0030675213603833804,0.1383139731497395,0.04765039815602281,0.25700777715850737,1.7511706174148252,0.005982889110764802,0.08851379725818544
156,1,0.0008034471064553867,0.12757571054624864,0.0344037568535021,0.031203710429779635,4.385534686689515,0.04824977748844793,2.3742402976844987,0.0194708673615745,6.911777909687186,0.9579063016258045,4.170433656141965,0.3096452730776741,0.00453332949642474,0.17764767474333332,0.13368947201129586,0.34566717958923954,1.752156643581126,0.010369756875835365,0.07866032501112692
157,1,0.013533804152728923,0.14689954656731585,0.02271374169843123,0.006963747179255948,4.366461565189003,0.03353077456486561,2.3450860994939835,0.036475606209531206,6.859988043529692,0.9506789046570315,4.277907383056048,0.28547172605723514,0.0013201120548782847,0.16084535645727704,0.09664113360929964,0.38902982875079045,1.7549430562586925,0.006904252811236255,0.04972027375800349
