run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
14,WT,305.47599004435915,0.020870046192486107,5.792081109595937,4.2867362564476625,3.728294440727936,3.2639076254376875,0.17329191814561362,5.332366252275682,0.9964624850376586,1.4373389802985208,1.8108589710965055,0.5914470925164759,0.370112586017333,0.5904956518119051,0.06914101456085786,0.7031818331300708,1.538075871936725
15,WT,302.6117294818483,0.02059964736949595,5.835215149796499,3.679909438783146,0.31413553575151987,0.36689287866429054,0.05275751264893933,0.4104826907563247,1.9521290072226212,3.4342544123609406,1.1695478242618635,1.1518682613160476,0.2532543903422759,1.1871084423988834,0.011809354083430992,1.7466765471246557,2.1125550308395833
16,WT,294.41748864880213,0.021456218777842775,4.973102077339175,4.724742199531682,3.833269855072796,3.857433458258358,0.07612835052183192,4.473479079948064,0.755101529763613,2.7324490626704843,2.516614961111662,0.9148061568264337,0.09827236959102686,1.5440647876352864,0.014958659790365331,0.8820393211604144,0.4835775000029514
17,WT,305.3601793652565,0.020299093557459135,5.310761980229019,5.707672952834909,0.7357939120431574,1.5810818197605374,0.07412095799741887,9.71217455650319,1.4510693244070567,1.1264276908523674,1.6642594901792485,0.35494427217540025,1.51324063557207,4.642477114924134,0.02116361929561337,0.9316757991217774,0.30675987264583604
18,WT,295.7899131605597,0.0177442438200913,5.071244852214181,3.7651718576265556,0.12747700804755357,1.5770427109509795,0.13242490457018896,2.7541222343913603,2.1300407527805607,2.5755707089142312,1.7703158109651964,0.3809251163121874,1.2828484143437269,0.29168484329728206,0.035546731872105074,1.8107463647609507,0.7316634550331886
19,WT,326.8296627289315,0.017836319002185005,5.249832693841954,5.619036378425323,1.6077701747416535,2.289220586340125,0.1608448971792107,6.623918849062341,0.7471678405817612,3.2725895237246023,1.974398022479499,1.695746704096079,1.960982156422808,4.090444597090944,0.03297207226361298,0.10757091624315274,0.5802441783025563
20,WT,315.2783092661723,0.016571421148621743,4.968625467869138,3.44057804996618,0.10532473893459038,2.304550909270181,0.11047717310667712,3.000843528232239,0.6325221825219073,0.17248979100657902,0.2506816074638081,0.3170831717000835,0.5499154417824581,2.1458808591586602,0.05508200674808507,1.7951851462543382,2.6291697176283746
21,WT,288.600190068776,0.02129838811275603,5.4774599454637425,5.811270963963677,1.7862935128088209,1.5554433550966922,0.14431286439477176,1.9491266045601576,1.6244558857672475,1.670907806516401,1.4798436954363323,0.1568384770307184,0.8611144489468824,1.1384306989628574,0.0458841320956558,0.06769650482807071,2.513582968145298
22,WT,298.4609288857973,0.018559381160833843,5.987160571034715,3.65910815484325,0.43532873009347917,1.262617411714717,0.1013648194795052,5.699945161773321,0.8135661113074433,1.8334781008012602,1.5969013400749015,1.2271581391085133,0.32829840261337173,0.8136701191610147,0.09824265634617976,0.1872684413767347,0.5944832233189941
23,WT,303.95892536497286,0.02084102643455324,5.325311737446597,5.655093789365886,1.7047888375835563,0.5293359239646576,0.13139914723472151,9.710901033061734,0.25682826140892356,3.5665651759200085,0.32870829531123535,0.9721289582758417,0.17344505091620716,0.6530290594214776,0.033019328778404,1.1196893418097722,1.0125457638441304
