run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
68,K27M,194.11525343153846,0.0449282658735381,4.187888791240007,8.130860625996085,2.6598955789020313,3.052104335050217,0.0673007282131459,6.615775771320705,0.8701030558536696,3.1509229362451676,1.8395466055015972,0.2453502550677975,2.228600523032616,4.740237258643546,0.127965075113112,0.15950047514691815,3.5205967210937996
69,K27M,179.54600607187697,0.0427500752438393,5.0177961197393515,5.66588883500384,0.38006062308587324,2.017991847209964,0.05500979689709848,7.068800777676165,0.513501081180567,1.0147753122849419,5.18979600550575,0.6123510149046293,0.5363044785469964,0.06744449701129443,0.08982594217124092,0.4725742121535847,1.955487477173404
70,K27M,180.2970877405374,0.0434815513133633,7.49764293396833,9.398695524049039,1.4296080794485078,3.782304661072625,0.085896417445264,9.910191635778313,1.0238270333472157,3.530409058194563,5.201739748205547,1.009837804566018,1.583755191634458,1.8636021474482556,0.17177396435175607,0.9090835752109427,3.567115515374706
71,K27M,197.09605748025007,0.04364043117379553,3.491226727894336,5.642306498698099,0.9078761667494797,2.536944147429595,0.04854147731673886,3.893409752600606,0.09509179952178326,1.4386127573657301,2.32161784507977,0.8026940913893408,0.5888311964920634,3.9415269042856065,0.08808151413455782,0.5949242978655882,0.3590819929409004
72,K27M,177.15267624473478,0.04334522580789621,5.8676846524869335,8.98609121337153,2.4958162590360717,1.9481459089538518,0.019578939595779592,1.154715519336858,0.17813619113108048,0.6123216743171878,5.729792213622202,0.4709659157991356,3.1461929742451815,4.401556405725265,0.003194297838999601,0.06445244186225707,0.63565289003645
73,K27M,181.11798912621163,0.04271654356816038,5.646291106533991,8.123925193126118,0.8229796185417527,2.4117120158193357,0.06623413982319543,7.559439818241315,0.6555899296538965,1.2361591315219203,3.9096573079651673,0.9475556595736689,1.0019645511279145,0.12725972010421832,0.11693329322343467,0.7511115116850461,2.054789345797072
74,K27M,200.0209098991553,0.04581016560386554,4.153993391694504,7.889664265602663,3.5977565123749318,1.817469434063125,0.05276126324355037,2.8211029640983956,1.3167118752649203,4.259605984791112,0.4392793077072765,0.3970876507626846,2.624793262747922,1.153904168907975,0.057200875686564866,0.21096074853605096,3.148025335103105
75,K27M,200.6475489363739,0.04167550770600189,5.618342946126633,8.111760243907508,1.8349497063172961,2.981563730070677,0.028147825245411776,3.913511453069378,1.0645959441714594,3.3665985321435614,1.5493565964248002,0.5326396474695243,3.333496720080925,1.8934962572853546,0.01850181769633577,0.9770871834007391,2.6587135471520247
76,K27M,201.95316628199646,0.04333636656807057,5.917826166125048,9.711878857964301,0.9196710004732918,3.701219419735622,0.013801866473760686,7.651443556572625,1.0156814105243164,0.10720905926184976,4.746351417297999,1.4243147978383637,2.8665709889549555,4.260475449983976,0.005080545564061387,0.16376866508185484,2.8861327569687587
77,K27M,221.23412937745923,0.04359508562640044,4.581933847860519,3.7194574478052598,0.27197547716981774,3.1907300438861856,0.04277233906848546,1.2947030969772433,0.4058111568129824,5.105355787192121,1.97225466532316,0.7113401537493322,0.5139412597047652,4.116091148772462,0.05012544828718762,1.3463100611080079,1.8162928470193078
78,K27M,218.31039871934945,0.046543715113814124,4.451271769144581,6.562486090218215,0.9882674667007301,2.9220781342814206,0.09975831585503744,4.441656317292093,0.5413298968824357,3.5698805863433782,5.2047731711395375,1.287497090670584,1.0112230133380962,0.9420807137455858,0.08911438200517852,1.0252512090054378,2.2991031529618082
79,K27M,187.40609737138158,0.04313855628733839,5.681582216487886,7.287877740770904,2.5577806379674777,2.797362717796393,0.067946572233787,4.238750570438264,0.5991945439393677,2.9490425836410754,3.6241434441550453,1.0559095680721595,2.108703251158701,0.7706903589647087,0.09935487691147266,0.6657188840151946,2.300955580657641
80,K27M,218.10928786101562,0.03659104508821108,7.997618349594261,7.26435320311896,1.0009334365967404,1.2280815821066504,0.08832431258544157,6.0538818505452054,1.0152197764066537,5.24887174557054,3.1305556404812886,0.8795376451032628,0.8864881814474237,1.7274286246497177,0.0996514528768911,0.4125616763291111,3.226503536618824
81,K27M,223.0826719972737,0.03676730989061039,7.101641142200854,5.505407723086455,2.834880824013757,2.303169556116625,0.06012549356493216,1.6125585237259417,0.9944450285180603,2.632516173371895,0.05173734992377632,0.3425525508209541,3.74593785173044,3.5196056977991814,0.17403222952529554,0.371930101762316,2.034592269531083
82,K27M,209.45614072544197,0.04216490521430207,4.2382160522518735,7.197155059290054,0.5845146639743062,2.262923371232157,0.05594111200757669,6.021420182454872,1.1728933359092342,4.614516506816984,0.9864597671765756,0.3554678740903583,1.1570721048909833,3.2437260346984367,0.06814265033355361,0.9472646483557248,3.9343602597138014
83,K27M,178.79002000227874,0.0433489086497655,3.174815898509665,7.574943822724774,1.060278037605944,2.799780640046728,0.04824103252793149,5.749395372265582,0.5382511037531371,0.22571213759420675,0.03518055533726283,0.04363925842100044,1.566606191463504,3.7061417090429103,0.07600701284072307,0.24917983905331983,1.775671700114681
84,K27M,181.01586258305545,0.044277653659485855,7.5788016438713655,8.650661015207582,2.78982447974768,2.1417327004977746,0.07450386444787944,0.8871037858489669,0.800095059260248,5.591302499394289,5.789662971450425,1.0891605034828098,3.5758149347367287,4.301678456108805,0.1367090183135004,0.7313240876075406,2.5120384887260427
