run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
67,WT,330.0204328351272,0.00613359795650402,6.681206103847179,0.005117328515150516,7.354609251098639,4.265690422384656,0.21532673715219275,4.8189466308325315,0.18734099915005975,9.428970808702486,2.364318355007739,1.9669192633520507,0.4486437259752294,0.056605652278581164,1.3021413599271199,0.07955359180210637,1.695641380260977,0.8322516368779316,0.031602005705969854,0.00026730557989070643
68,WT,289.20843513480366,0.0011029879868943615,6.843448213164394,0.007178266696082821,6.946915231141667,6.818342866573503,1.4720564712221942,4.321848626159904,0.17884915900809914,4.219122780412395,2.238388388779965,0.7753881162992458,1.2302007682739131,0.1367935610318615,1.375950202615347,0.07542018652226709,0.5579270217797447,0.8068476883786982,0.03570196811924581,0.003653696083446097
69,WT,325.858637562456,0.011629303764960585,7.733163694667638,0.005485502903070705,5.134135281552752,5.684541311377967,2.3514623620406443,3.912813512051586,0.12353502445425149,4.507332989650169,2.99256411624519,0.24870815334067653,0.9143498406819218,0.4017604207071252,2.208868172222839,0.07146405233280756,1.5267513187860984,0.3324501265101764,0.022808302312772116,0.00048801443221376916
70,WT,266.5405450726801,0.0059970438575948914,6.962613451307784,0.011580230625441588,7.926821116993561,7.35998288542336,0.7811504311237601,2.511695743415103,0.19218581857516617,7.848532417019442,0.7460924607331092,1.156236060030816,0.2027708663380082,0.08238734057021282,2.5135270467497186,0.08331092377367579,0.7508099967257319,0.4258743176324079,0.022153317046032166,0.00021141605938598796
71,WT,330.485495342466,0.0066734163479674966,7.329536628856028,0.013360399540422622,6.328679373310539,4.997725354302235,0.7424119550342686,3.2704811457231147,0.15445588359721757,3.2940459721674213,1.9338350589566837,2.9303430033757287,0.5429456879341299,0.7941444932905205,0.14532228913772194,0.027429762018496763,0.2019132746541624,0.6054488358632909,0.00890690370036121,2.059210088534158e-5
72,WT,347.00203722555386,0.00031240042245420183,4.237527973893663,0.005256479646312806,4.069000742771083,5.468057461682022,0.9509486967767784,3.4121593049100776,0.16978745901259246,8.732806466539033,0.773052230015038,0.19152098304487952,0.06350845509530634,0.6382090084055002,2.4901358560163853,0.09410569851251073,1.256605187443275,0.5333068789231297,0.029297491324447054,0.005465686528453304
73,WT,283.90567321866484,0.006407497162892896,3.373243822634763,0.010489510208497208,7.173648863723833,5.549224992381125,0.8197630807971953,2.9422188950878807,0.1984307945932271,3.754641761834403,1.4526968602805632,0.30106910392471375,1.0242223250329534,0.09680661036453032,1.076335946217081,0.08024582171779038,0.28804205183209586,0.4913206896039282,0.02304845378353138,0.002093027723903629
74,WT,280.3953765431795,0.003795956133181023,4.453266809786108,0.0176291978320223,6.9523521754574755,7.569501666892307,0.16394313527706617,2.6026811636555047,0.19662254688192643,7.882687003212323,1.4354313071450746,0.05086910767809204,0.5135743007839109,0.011966126308476432,1.7806756550941796,0.09902642510796773,0.6312482497443125,0.4833579899478563,0.004019377598142987,0.004778942394621422
75,WT,313.49142347327273,0.007752707689332028,7.076951278432363,0.005458421048117366,6.19179825120866,6.315197328914697,1.6291175235335253,1.107158245193779,0.11856409361126866,9.934684753123632,0.9007444284449004,1.2017327226955787,0.3323142780716776,0.18456176307850952,3.2305841381844536,0.05059811646413587,0.30830137484835474,0.6744943308892818,0.042864617863934924,0.00037806158259273475
76,WT,353.65813675369884,0.010318735419886347,5.709717925436371,0.0027712795615714714,7.525903029184795,4.576629071819513,2.8629175048759743,1.89495411601651,0.04645004300159891,7.705829479838814,1.556695860225123,1.5731090376724879,0.07609463962103657,0.8373264339368878,2.0620978255773688,0.021361017270344895,1.536451071304267,0.5304997776599101,0.027216278801201352,0.0006414022912722577
77,WT,325.46040629680334,0.009133438684633175,5.1996227143266065,0.019456291135580814,7.197480841797407,7.817171940382426,0.4487225261505694,3.734416462394567,0.14658996117938622,7.299545169319941,2.5673290902628154,0.21927794180588966,1.1536677160352173,0.7314081996871489,2.0719774367069883,0.05484966489274885,0.19888340663806492,1.0523500229246334,0.0025088848798567524,0.003148951937963901
78,WT,285.8735988117236,0.010893951785825624,7.627618657012919,0.019916975257324776,7.571728326375138,6.810384593242819,0.981260190381132,2.474380180886661,0.03407335752321286,4.0469709239777245,2.300236491095684,1.6933111845535016,0.6232267132915654,0.1742688004717824,0.03172368075939028,0.013213248811684722,0.046122458288936796,1.7989786192829982,0.005956537438815863,0.0003841794694287574
79,WT,325.2789228069424,0.008469077915282923,6.179398124647718,0.003773595449235497,7.459233638709965,5.05086550093738,0.2913341756650576,2.2634743065412106,0.18342060019417103,5.119105086587904,1.067679653227452,2.2782570324779146,0.31324461797596115,0.588852303926968,1.8732467102684929,0.08791913621544374,0.5187699839505986,1.9842551646711746,0.04419950417656039,0.0005839183410992759
