run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
13,K27M,197.64854887819396,0.037100244074142925,4.329687346200749,0.007267371504826871,1.6330671639784202,7.223840750965323,0.5503306919771759,1.836412447569855,0.04219917020883011,4.899283698006287,0.388821258762402,2.579285158056141,1.18178893783477,0.7346338481577719,0.8809322076965926,0.04654997272572116,0.25933008774247823,1.2962837080046368,0.02231878917300606,0.008457812244734735
14,K27M,199.16842827719069,0.03221022496819733,2.8837327103852797,0.019673869023319236,5.79775154568434,6.88933945253423,0.9346082957796488,2.1587709590047046,0.09618207000722498,3.867765103176061,0.13278440718766432,4.481580968364388,0.594833950293541,1.131372455491611,2.673269309165975,0.17366246437946364,0.3382823841412916,0.4306255133096816,0.015386376619115894,0.018452519719343884
15,K27M,255.88778321232053,0.02318996373263066,2.8589495720566687,0.011312067060970614,6.716433920226929,7.855815210553387,1.5867054337427589,2.330568950294864,0.016866561185359598,2.8659544304775113,0.29732089348896396,0.8681614674879986,0.4890338133297405,2.4183155776696887,1.9263741914375008,0.012083641667155065,0.6021160633373731,0.8233785057975519,0.03158395769850626,0.00847761258882582
16,K27M,198.9335947866184,0.02012478180316664,3.9006656299761264,0.005658447639750697,4.634118167732513,7.68307242606023,0.3255036000245485,3.1342261459245426,0.018752298697541348,7.5874166617128775,0.7144756325232035,4.60192264252177,0.3150507654946025,0.47788065754940173,2.415237347927766,0.002697034400100906,0.23896186731502259,2.546830153760936,0.02398496226549596,0.038981192823388654
17,K27M,198.98664974217476,0.017388269775898847,4.1853591100686325,0.004893912792030543,2.25097582751636,7.727061357532411,0.9528508793338261,1.9145799029637467,0.03471687203206924,5.970075861170203,0.6379506100777435,2.6683802300175947,1.014024652115366,1.184429320638273,0.08628865523495236,0.0315931873390359,0.11637119689277672,2.2698590113309103,0.024767665493165805,0.043744011174358235
18,K27M,200.0708580479739,0.02407842592939019,4.372380336681736,0.026265631301161173,1.9438774362461018,7.667462033921354,0.63691071181595,3.2047514625773585,0.060333862344122725,6.225484687960119,0.49065722937217876,2.9800103736794648,0.2554711567087864,0.8749878870428188,3.289658630811495,0.09788848028773066,0.30196532673486576,1.7237700070132018,0.012369232224413607,0.03562352668032846
19,K27M,201.840417126209,0.018496107813446138,3.2748105030635855,0.01146950223900979,3.246793378747915,7.686119598631212,1.4013700189172607,3.606946003234324,0.034107568733939136,8.708382765912928,0.754836126857557,1.8638751605322983,0.14200712684680095,1.494381534738654,0.6609422594473787,0.028722398064721072,0.2790627508136202,2.8240881101508513,0.01881963661740859,0.04772129888033665
20,K27M,198.154500575198,0.03789618758792007,3.1784109894017125,0.003572820062138173,3.5253336462947606,7.87413464155469,1.7373868604282223,2.1983069731998572,0.08381614094025024,5.197325485145882,0.1229311267156234,1.8920344440915318,0.16969137702259895,2.321771325551051,2.094201005930109,0.13092378818043288,0.4526971686542546,0.40316773617322443,0.02363002576635571,0.007558572255352278
21,K27M,197.95565549707683,0.034132922508034284,3.8797645990702647,0.002330978167045662,0.5041763643031186,6.444577624356402,1.0980989994081638,2.1999758279497255,0.04132085436512268,5.097426504355169,0.3132880556973668,1.2597794982161405,0.10813238621211371,1.4048546435849902,1.8290362051668607,0.04372126079211782,0.26046861924941933,1.0939021084090017,0.02592844648216369,0.012956638653643451
22,K27M,198.25824901107472,0.03259810854495486,3.3461029538898623,0.017939017447576946,2.450595604587823,7.3195091704742845,1.131010889184993,2.2835744820403274,0.02103744045542765,5.155803240833815,0.5015277292083105,1.8852742257254382,0.06763870343214948,1.427184239140609,2.449101017823399,0.0034008603487624862,0.11098361472135014,1.7594777235722137,0.015900954908989365,0.01859047454635182
